food_name,serving_weight_g,energy_kcal,carbohydrate_g,sugar_g,fat_g,protein_g,calcium_mg,sodium_mg,potassium_mg,magnesium_mg,iron_mg,zinc_mg,cholesterol_mg,trans_fat_g,dm_score,htn_score,dl_score,obe_score,anem_score
쌀밥,210.0,334.8,73.71,0.0,0.45,5.76,3.6,59.4,146.7,,0.36,1.35,0.0,0.0,88.3,100.0,100.0,100.0,59.6
기타잡곡밥,200.0,302.362,65.5211,0.0,0.7462,6.7092,12.06,3.392,166.718,6.9,1.7447,1.8264,0.0,0.0,92.6,100.0,100.0,100.0,73.8
콩밥,200.0,322.9,65.846,0.0,1.666,8.428,24.7,4.1,258.4,22.5,1.74,1.61,0.0,0.0,93.5,100.0,100.0,100.0,74.9
보리밥,200.0,316.1,70.57,0.0,0.14,5.55,6.7,4.5,100.6,0.0,1.26,1.41,0.0,0.0,89.7,100.0,100.0,100.0,67.6
돌솥밥,350.0,528.855,101.85,0.0,8.347,10.187,61.455,618.315,624.32,57.785,3.321,2.582,2.365,0.0,76.2,100.0,100.0,92.0,93.9
현미밥,230.0,351.35,77.8771,0.0,1.1021,6.6576,6.006,42.079,209.326,0.0,1.0507,1.6518,0.0,0.0,86.6,100.0,100.0,100.0,66.9
흑미밥,200.0,318.0,70.29,0.0,0.39,5.44,6.3,4.5,112.9,0.0,1.29,1.35,0.0,0.0,89.8,100.0,100.0,100.0,67.6
감자밥,200.0,308.0,68.64,0.0,0.08,5.68,6.4,5.2,267.6,9.2,1.36,1.4,0.0,0.0,91.0,100.0,100.0,100.0,68.9
곤드레밥,350.0,506.8,108.052,0.0,8.372,14.14,30.324,88.753,815.9235,22.4,1.876,1.778,0.0,0.0,73.7,100.0,100.0,94.0,79.3
김치볶음밥,500.0,656.98,79.29,3.996,5.06,8.74,35.89,1094.91,305.71,1.92,1.06,1.85,76.0,0.0,78.2,82.3,100.0,85.7,68.7
주먹밥,150.0,209.56,36.18,0.0,3.463,6.703,85.432,329.69,179.326,0.0,0.697,0.804,50.13,0.0,100.0,100.0,100.0,100.0,61.6
볶음밥,400.0,687.744,100.328,0.0,19.29,24.458,58.42,1441.42,578.88,14.98,3.294,3.445,309.0,0.0,70.5,71.8,75.5,84.6,98.8
일반비빔밥,500.0,702.996,95.6834,3.44,25.2839,22.5951,96.796,1234.088,742.508,55.8,4.7544,4.1598,40.2,0.0,72.5,89.7,96.2,79.5,100.0
전주비빔밥,450.0,662.192,92.9895,3.44,13.0335,15.8435,65.04,1281.302,450.114,10.839,3.235,2.8635,286.943,0.0,73.0,75.4,79.9,85.5,94.1
삼선볶음밥,400.0,683.617,113.4285,5.094,16.8425,19.2585,119.373,1155.806,640.973,29.67,4.524,3.5695,119.13,0.0,66.7,90.0,99.0,82.0,100.0
새우볶음밥,400.0,634.52,91.62,0.0,17.905,24.115,81.82,1124.628,710.655,17.68,4.1457,2.8176,127.2,0.0,77.8,91.7,98.9,90.5,100.0
알밥,400.0,606.54,92.1,0.0,3.45,15.16,68.6,1647.866,510.41,7.4,3.56,3.3,39.0,0.0,73.1,70.1,100.0,89.5,95.2
산채비빔밥,400.0,495.89,89.6602,0.52,10.9936,10.6633,63.1,1060.778,509.952,38.808,3.5263,2.0534,0.0,0.0,80.9,92.2,100.0,96.4,93.6
오므라이스,450.0,684.986,101.6212,0.0,19.7516,23.1453,81.556,1123.236,788.378,33.71,4.1326,3.666,605.625,0.0,71.9,87.2,70.1,83.8,100.0
육회비빔밥,450.0,661.41,91.7422,2.58,17.5396,32.0013,86.38,1126.6,793.74,33.58,5.9683,6.5294,241.65,0.0,79.1,89.2,86.2,90.5,100.0
해물볶음밥,400.0,659.23,85.1922,0.0,23.7096,22.6813,77.5,951.03,555.36,24.2,4.1283,3.0794,362.4,0.0,79.5,89.9,68.1,85.4,100.0
열무비빔밥,400.0,445.66,90.0322,1.72,3.1596,12.9913,91.06,718.39,708.68,1.29,3.9083,2.6522,12.8,0.0,82.7,100.0,100.0,100.0,97.8
불고기덮밥,500.0,699.96,92.0922,5.99,21.3996,29.3113,45.77,1182.88,764.5,30.22,4.2483,8.7722,72.0,0.0,75.6,88.6,99.8,85.1,100.0
소고기국밥,700.0,331.71,54.93,0.0,4.74,16.04,33.02,1613.21,485.21,,3.61,2.31,25.5,0.0,95.6,69.5,100.0,100.0,94.0
송이덮밥,600.0,600.42,103.57,0.0,14.45,16.28,91.94,1578.85,1313.48,,5.71,4.25,9.54,0.0,68.4,76.8,100.0,88.6,99.6
오징어덮밥,500.0,693.98,83.428,2.688,20.92,40.59,76.77,1497.37,874.96,62.69,3.227,4.626,387.6,0.0,80.8,75.8,70.3,87.4,100.0
자장밥,500.0,729.617,98.078,4.0,24.95,25.758,81.905,1521.85,781.93,32.504,5.701,5.682,36.0,0.0,69.1,77.3,96.3,78.5,100.0
잡채밥,650.0,851.54,125.7,4.0,28.61,21.14,84.11,2251.34,817.08,32.55,4.83,5.896,36.0,0.0,55.7,57.8,90.5,61.3,100.0
잡탕밥,750.0,737.23,100.55,0.0,22.48,29.02,77.6,1922.135,803.73,15.65,4.86,6.224,188.05,0.0,67.3,60.0,87.7,80.3,100.0
장어덮밥,400.0,671.72,103.0364,0.0,19.2362,26.1358,611.12,893.22,785.08,28.6,22.1656,4.746,156.96,0.0,73.5,100.0,94.4,85.9,100.0
제육덮밥,500.0,796.94,95.8,5.4,27.52,37.8,46.04,1375.69,624.95,,6.28,7.17,108.0,0.0,67.2,75.9,92.9,73.6,100.0
짬뽕밥,900.0,696.6878,93.4157,0.0,22.417,41.7955,394.1658,2869.5354,1715.5211,,11.5912,5.5697,304.3,0.0,71.6,57.6,74.8,84.7,100.0
순대국밥,900.0,690.35,34.229,0.0,16.478,17.338,132.855,3418.195,672.91,3.45,9.11,6.622,1480.97,0.0,91.7,55.7,71.1,88.3,96.8
카레라이스,500.0,653.24,92.576,0.0,10.667,13.398,27.9,1108.55,525.62,70.18,1.982,2.655,13.75,0.0,76.1,90.7,100.0,85.4,84.6
전주콩나물국밥,900.0,432.38,88.732,0.0,3.525,12.496,76.88,1753.255,525.79,67.79,2.384,2.368,2.77,0.0,81.1,70.9,100.0,100.0,84.5
해물덮밥,700.0,837.976,100.112,0.0,29.0,51.768,167.536,2117.832,1361.768,34.8,16.632,5.856,293.872,0.0,63.0,55.6,68.8,68.9,100.0
회덮밥,500.0,697.996,101.753,18.405,11.397,42.992,117.12,777.63,1131.35,6.98,3.9,2.672,125.59,0.0,60.4,100.0,100.0,81.5,100.0
소머리국밥,1100.0,891.43,77.058,0.0,40.762,48.943,53.255,970.895,455.78,24.665,1.891,4.22,477.1,0.0,71.7,80.7,53.5,60.7,90.8
돼지국밥,1200.0,811.44,78.284,3.3,36.453,56.755,65.73,1257.67,497.83,57.14,42.954,43.665,734.5,0.0,75.1,76.1,58.0,69.2,100.0
하이라이스,360.0,477.6,84.591,0.0,9.669,7.92,5.94,991.68,251.61,6.6,0.546,1.506,8.574,0.0,82.2,85.6,100.0,97.6,63.1
김치김밥,250.0,377.262,71.804,0.0,4.62,11.449,79.06,967.79,413.86,3.6,1.462,1.957,99.6,0.0,90.0,91.6,100.0,100.0,73.9
농어초밥,250.0,414.78,74.144,6.972,2.367,19.925,54.125,1385.46,479.7,0.0,1.5765,1.6655,43.47,0.0,87.0,77.8,100.0,100.0,77.4
문어초밥,250.0,377.97,71.835,4.98,1.03,16.904,30.2,1420.922,395.09,25.75,1.113,2.523,96.0,0.0,90.0,75.7,100.0,100.0,75.3
새우초밥,250.0,395.54,69.543,2.988,1.206,22.737,73.39,1396.751,372.745,2.6,2.619,2.169,138.33,0.0,91.9,74.8,99.2,100.0,89.4
새우튀김롤,300.0,572.016,81.496,3.996,18.896,21.112,110.82,1512.501,715.82,0.24,3.416,2.492,96.54,0.0,81.2,79.5,100.0,95.0,95.8
샐러드김밥,250.0,422.434,75.8415,0.0,7.508,12.764,45.6585,906.6775,541.328,13.7375,2.147,2.2405,100.5305,0.0,89.2,96.2,100.0,100.0,81.8
광어초밥,300.0,471.664,72.526,5.229,3.206,33.7415,88.071,951.2755,747.0895,1.4,2.956,1.943,126.495,0.0,93.6,97.7,100.0,100.0,96.1
