number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_subsample,user_attrs_best_thr,user_attrs_fold_recall_std,user_attrs_oof_auc,user_attrs_oof_f1,user_attrs_oof_recall,state
0,,2026-05-15 15:56:58.422127,2026-05-15 15:57:00.878525,0 days 00:00:02.456398,0.6232334448672797,0.08927180304353628,6,16,500,51,0.662397808134481,,,,,,PRUNED
1,0.42228390166534496,2026-05-15 15:57:00.878696,2026-05-15 15:57:02.220007,0 days 00:00:01.341311,0.6849356442713105,0.039913058785616795,3,49,893,50,0.9329770563201687,0.47,0.0387,0.8008,0.5653,0.8547,COMPLETE
2,,2026-05-15 15:57:02.220307,2026-05-15 15:57:06.742709,0 days 00:00:04.522402,0.8447411578889518,0.015254729458052608,6,27,345,30,0.7164916560792167,,,,,,PRUNED
3,,2026-05-15 15:57:06.742935,2026-05-15 15:57:09.590583,0 days 00:00:02.847648,0.8056937753654446,0.019594972058679168,5,42,311,33,0.6798695128633439,,,,,,PRUNED
4,0.42443474811582704,2026-05-15 15:57:09.590815,2026-05-15 15:57:13.093788,0 days 00:00:03.502973,0.9862528132298237,0.011128853174905732,4,12,674,45,0.9795542149013333,0.44,0.0819,0.7851,0.5681,0.8587,COMPLETE
5,,2026-05-15 15:57:13.094030,2026-05-15 15:57:16.468977,0 days 00:00:03.374947,0.798070764044508,0.020165721691808594,7,28,847,20,0.6488152939379115,,,,,,PRUNED
6,0.41935483870967744,2026-05-15 15:57:16.469208,2026-05-15 15:57:18.395778,0 days 00:00:01.926570,0.8186841117373118,0.08115595675970502,6,22,227,28,0.8080272084711243,0.4,0.0857,0.7928,0.5628,0.8555,COMPLETE
7,0.41491022638563624,2026-05-15 15:57:18.396013,2026-05-15 15:57:20.925765,0 days 00:00:02.529752,0.9687496940092467,0.09323621351781479,8,46,348,53,0.8391599915244341,0.4,0.0301,0.7922,0.5583,0.8531,COMPLETE
8,0.42885933091495365,2026-05-15 15:57:20.925998,2026-05-15 15:57:23.305099,0 days 00:00:02.379101,0.9314950036607718,0.015703008378806716,4,25,270,18,0.7085396127095583,0.45,0.0385,0.795,0.571,0.8539,COMPLETE
9,0.4258296681327469,2026-05-15 15:57:23.305322,2026-05-15 15:57:25.232439,0 days 00:00:01.927117,0.9947547746402069,0.01909565280104538,3,42,485,42,0.6298202574719083,0.48,0.0324,0.801,0.5685,0.8547,COMPLETE
10,,2026-05-15 15:57:25.232663,2026-05-15 15:57:26.640347,0 days 00:00:01.407684,0.892146758082804,0.03602552494258328,4,36,611,63,0.7521171841007243,,,,,,PRUNED
11,0.4257781324820431,2026-05-15 15:57:26.640562,2026-05-15 15:57:28.733255,0 days 00:00:02.092693,0.9161143843007374,0.026176802787919742,3,36,487,16,0.6141674112110137,0.48,0.0272,0.8033,0.5688,0.8563,COMPLETE
12,0.42634730538922155,2026-05-15 15:57:28.733481,2026-05-15 15:57:32.372468,0 days 00:00:03.638987,0.9298423970116863,0.010763638868164893,4,36,474,39,0.6017736590672595,0.46,0.0429,0.7943,0.5694,0.8571,COMPLETE
13,,2026-05-15 15:57:32.372697,2026-05-15 15:57:33.892158,0 days 00:00:01.519461,0.8847911208853647,0.01047243595231796,4,20,221,23,0.742836770626536,,,,,,PRUNED
14,,2026-05-15 15:57:33.892387,2026-05-15 15:57:37.683922,0 days 00:00:03.791535,0.7248939743688466,0.0143147508407276,5,34,721,36,0.865362571444793,,,,,,PRUNED
15,0.41813898704358066,2026-05-15 15:57:37.684135,2026-05-15 15:57:39.147725,0 days 00:00:01.463590,0.9459018410874397,0.05368275917771947,4,24,413,63,0.7026272081975657,0.44,0.0451,0.7942,0.5616,0.8547,COMPLETE
16,,2026-05-15 15:57:39.147979,2026-05-15 15:57:42.798989,0 days 00:00:03.651010,0.7522347078036653,0.013381570487438788,5,33,568,24,0.601039006101792,,,,,,PRUNED
17,0.4274193548387097,2026-05-15 15:57:42.799219,2026-05-15 15:57:44.876252,0 days 00:00:02.077033,0.9311149037830164,0.026151081085867757,4,30,405,38,0.772535073751684,0.47,0.026,0.7988,0.569,0.8507,COMPLETE
18,0.42463014794082365,2026-05-15 15:57:44.876489,2026-05-15 15:57:46.303957,0 days 00:00:01.427468,0.8666142557230876,0.027256409806732888,3,18,274,16,0.7803542793776402,0.48,0.0353,0.8008,0.5669,0.8523,COMPLETE
19,0.42105263157894735,2026-05-15 15:57:46.304199,2026-05-15 15:57:48.368787,0 days 00:00:02.064588,0.941493860527844,0.05207205482023209,5,30,401,46,0.8863508570652797,0.43,0.0664,0.7916,0.564,0.8539,COMPLETE
20,,2026-05-15 15:57:48.369025,2026-05-15 15:57:53.807259,0 days 00:00:05.438234,0.8416634198004798,0.024318974510138334,7,25,401,58,0.8000709557142217,,,,,,PRUNED
21,0.4236550632911392,2026-05-15 15:57:53.807490,2026-05-15 15:57:56.509114,0 days 00:00:02.701624,0.9218347093568054,0.016038020847251547,4,39,572,38,0.740523676478675,0.46,0.0361,0.7991,0.5676,0.8596,COMPLETE
22,,2026-05-15 15:57:56.509356,2026-05-15 15:57:58.548069,0 days 00:00:02.038713,0.9155212629014801,0.011861910255527392,4,32,994,41,0.6880633841817045,,,,,,PRUNED
23,0.42737094837935174,2026-05-15 15:57:58.548310,2026-05-15 15:58:00.493581,0 days 00:00:01.945271,0.9565205674550251,0.017291638286704616,3,29,445,34,0.7724953205556531,0.48,0.0313,0.8023,0.5704,0.8571,COMPLETE
24,0.4261113336003204,2026-05-15 15:58:00.493808,2026-05-15 15:58:02.228534,0 days 00:00:01.734726,0.9581696955547556,0.021689333042057668,3,29,274,33,0.7729906860634729,0.48,0.0311,0.8024,0.5685,0.8539,COMPLETE
25,0.4266293482606957,2026-05-15 15:58:02.228762,2026-05-15 15:58:04.193542,0 days 00:00:01.964780,0.9957845022128462,0.01702673669913521,3,25,419,28,0.828527599167427,0.48,0.0314,0.8017,0.5695,0.8563,COMPLETE
26,,2026-05-15 15:58:04.193826,2026-05-15 15:58:07.037117,0 days 00:00:02.843291,0.886074167154795,0.03293528798232414,5,15,322,31,0.7126212652973463,,,,,,PRUNED
27,0.4294330518697226,2026-05-15 15:58:07.037355,2026-05-15 15:58:08.247963,0 days 00:00:01.210608,0.9680813924934762,0.044529247455446314,3,21,532,24,0.7709694317921146,0.48,0.0274,0.8031,0.5722,0.8571,COMPLETE
28,,2026-05-15 15:58:08.248213,2026-05-15 15:58:09.640856,0 days 00:00:01.392643,0.8546378676475004,0.04194139397602712,4,22,539,21,0.8864932256799045,,,,,,PRUNED
29,0.4267413931144916,2026-05-15 15:58:09.641081,2026-05-15 15:58:10.661005,0 days 00:00:01.019924,0.7760975920640389,0.05956644008355971,3,15,664,25,0.7320566838410444,0.48,0.0376,0.8023,0.5694,0.8555,COMPLETE
30,,2026-05-15 15:58:10.661248,2026-05-15 15:58:13.010266,0 days 00:00:02.349018,0.6088017347852452,0.030065067238315705,5,10,201,19,0.668820943634669,,,,,,PRUNED
31,0.4265762170790104,2026-05-15 15:58:13.010500,2026-05-15 15:58:14.540722,0 days 00:00:01.530222,0.9630925434234568,0.023688452214613638,3,20,462,27,0.7699775202345178,0.48,0.0305,0.8021,0.5698,0.8579,COMPLETE
32,0.4300161812297735,2026-05-15 15:58:14.540951,2026-05-15 15:58:15.772995,0 days 00:00:01.232044,0.967614853032747,0.03908250985568405,3,26,376,33,0.8218918972936284,0.48,0.0249,0.8028,0.5718,0.8531,COMPLETE
33,,2026-05-15 15:58:15.773221,2026-05-15 15:58:16.809271,0 days 00:00:01.036050,0.6537135219185505,0.041370616605181265,3,26,367,36,0.8224726343946296,,,,,,PRUNED
34,,2026-05-15 15:58:16.809493,2026-05-15 15:58:17.955615,0 days 00:00:01.146122,0.9030927386898877,0.045815098547888594,4,23,293,30,0.8564808701975927,,,,,,PRUNED
35,0.4233201581027668,2026-05-15 15:58:17.955833,2026-05-15 15:58:18.913343,0 days 00:00:00.957510,0.981107585564542,0.07073623839661398,3,18,359,44,0.7857027994986441,0.47,0.0362,0.8025,0.5673,0.8596,COMPLETE
36,0.42628205128205127,2026-05-15 15:58:18.913577,2026-05-15 15:58:20.816250,0 days 00:00:01.902673,0.9380977391180704,0.03543268997543323,4,31,257,49,0.9458176136819662,0.46,0.0276,0.7978,0.5687,0.8539,COMPLETE
37,0.42022736181889453,2026-05-15 15:58:20.816504,2026-05-15 15:58:22.888415,0 days 00:00:02.071911,0.9993986750197684,0.030320572877651393,6,26,737,19,0.8052253068645217,0.41,0.0706,0.7903,0.5647,0.8604,COMPLETE
38,0.4225463145447379,2026-05-15 15:58:22.888726,2026-05-15 15:58:24.142887,0 days 00:00:01.254161,0.9740198326614261,0.06293901540975201,4,27,329,22,0.7257232697234075,0.46,0.0238,0.7983,0.5667,0.8604,COMPLETE
39,0.4130602782071097,2026-05-15 15:58:24.143117,2026-05-15 15:58:26.925246,0 days 00:00:02.782129,0.8323999050857064,0.048816860177085336,7,20,521,26,0.6991663356638441,0.39,0.0347,0.7931,0.5576,0.8579,COMPLETE
40,0.4257781324820431,2026-05-15 15:58:26.925494,2026-05-15 15:58:28.050224,0 days 00:00:01.124730,0.8611476483224799,0.03740341412194492,3,17,604,30,0.7511863504674425,0.48,0.0314,0.7984,0.5688,0.8563,COMPLETE
41,0.42777110844337735,2026-05-15 15:58:28.050455,2026-05-15 15:58:30.072824,0 days 00:00:02.022369,0.9523333784604011,0.017973382961988627,3,28,440,34,0.7622940654887446,0.48,0.0272,0.8021,0.5709,0.8579,COMPLETE
42,0.42628205128205127,2026-05-15 15:58:30.073061,2026-05-15 15:58:32.018512,0 days 00:00:01.945451,0.9079181262169297,0.019893438218252586,3,28,376,36,0.7607284879416079,0.48,0.0312,0.8029,0.5687,0.8539,COMPLETE
43,0.4276553106212425,2026-05-15 15:58:32.018740,2026-05-15 15:58:34.455213,0 days 00:00:02.436473,0.9704195146555753,0.013306961422991427,3,22,436,32,0.6513143048204965,0.48,0.0264,0.8021,0.5704,0.8563,COMPLETE
44,0.42782678428227744,2026-05-15 15:58:34.455440,2026-05-15 15:58:37.111348,0 days 00:00:02.655908,0.9791337797927454,0.012359341229941341,3,21,505,33,0.6445520869463225,0.48,0.0316,0.8019,0.5706,0.8563,COMPLETE
45,0.42713769570453636,2026-05-15 15:58:37.111586,2026-05-15 15:58:39.761836,0 days 00:00:02.650250,0.9832022303738457,0.012282133964908959,3,21,526,17,0.6274932114880246,0.48,0.0288,0.8017,0.5694,0.8539,COMPLETE
46,0.4245698279311725,2026-05-15 15:58:39.762076,2026-05-15 15:58:41.986982,0 days 00:00:02.224906,0.9569119088842045,0.014798646056959902,3,50,663,29,0.6740675136544505,0.48,0.0299,0.7971,0.5666,0.8515,COMPLETE
47,,2026-05-15 15:58:41.987209,2026-05-15 15:58:46.929008,0 days 00:00:04.941799,0.9430424069673408,0.010024772898795642,8,24,504,35,0.6347421531434214,,,,,,PRUNED
48,,2026-05-15 15:58:46.929228,2026-05-15 15:58:48.902052,0 days 00:00:01.972824,0.8940733105464381,0.018564794447784264,4,13,564,26,0.7149580806991478,,,,,,PRUNED
49,,2026-05-15 15:58:48.902297,2026-05-15 15:58:50.952817,0 days 00:00:02.050520,0.8743232397554527,0.013125462043123889,3,19,474,23,0.818462888871388,,,,,,PRUNED
