number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_subsample,user_attrs_best_thr,user_attrs_fold_recall_std,user_attrs_oof_auc,user_attrs_oof_f1,user_attrs_oof_recall,state
0,0.44037102473498235,2026-05-15 17:03:39.910868,2026-05-15 17:03:43.370566,0 days 00:00:03.459698,0.6232334448672797,0.08927180304353628,6,16,500,51,0.662397808134481,0.46,0.0486,0.7902,0.5681,0.8002,COMPLETE
1,0.4447403462050599,2026-05-15 17:03:43.370887,2026-05-15 17:03:44.914094,0 days 00:00:01.543207,0.6849356442713105,0.039913058785616795,3,49,893,50,0.9329770563201687,0.52,0.0411,0.8012,0.5727,0.8042,COMPLETE
2,,2026-05-15 17:03:44.914334,2026-05-15 17:03:47.967035,0 days 00:00:03.052701,0.8447411578889518,0.015254729458052608,6,27,345,30,0.7164916560792167,,,,,,PRUNED
3,,2026-05-15 17:03:47.967288,2026-05-15 17:03:50.866121,0 days 00:00:02.898833,0.8056937753654446,0.019594972058679168,5,42,311,33,0.6798695128633439,,,,,,PRUNED
4,0.4429203539823009,2026-05-15 17:03:50.866372,2026-05-15 17:03:54.456676,0 days 00:00:03.590304,0.9862528132298237,0.011128853174905732,4,12,674,45,0.9795542149013333,0.5,0.0325,0.7943,0.571,0.8034,COMPLETE
5,,2026-05-15 17:03:54.456938,2026-05-15 17:03:56.785956,0 days 00:00:02.329018,0.798070764044508,0.020165721691808594,7,28,847,20,0.6488152939379115,,,,,,PRUNED
6,0.4409448818897638,2026-05-15 17:03:56.786195,2026-05-15 17:03:59.000967,0 days 00:00:02.214772,0.8186841117373118,0.08115595675970502,6,22,227,28,0.8080272084711243,0.45,0.0949,0.7882,0.5708,0.809,COMPLETE
7,0.4280865507000424,2026-05-15 17:03:59.001369,2026-05-15 17:04:01.606852,0 days 00:00:02.605483,0.9687496940092467,0.09323621351781479,8,46,348,53,0.8391599915244341,0.44,0.0513,0.7909,0.5601,0.8098,COMPLETE
8,0.4390030607783122,2026-05-15 17:04:01.607084,2026-05-15 17:04:04.149472,0 days 00:00:02.542388,0.9314950036607718,0.015703008378806716,4,25,270,18,0.7085396127095583,0.48,0.0789,0.7914,0.5684,0.8058,COMPLETE
9,0.44035087719298244,2026-05-15 17:04:04.149704,2026-05-15 17:04:06.260073,0 days 00:00:02.110369,0.9947547746402069,0.01909565280104538,3,42,485,42,0.6298202574719083,0.52,0.0345,0.8021,0.5695,0.8058,COMPLETE
10,0.43733567046450483,2026-05-15 17:04:06.260306,2026-05-15 17:04:07.724307,0 days 00:00:01.464001,0.6323550505495388,0.045220343877834406,3,36,984,63,0.9630659181130072,0.51,0.0289,0.8019,0.5658,0.801,COMPLETE
11,,2026-05-15 17:04:07.724557,2026-05-15 17:04:09.756344,0 days 00:00:02.031787,0.7018890281884484,0.03648230115911497,4,10,753,45,0.9883474205536282,,,,,,PRUNED
12,,2026-05-15 17:04:09.756589,2026-05-15 17:04:11.787782,0 days 00:00:02.031193,0.7279349839080144,0.01047140992173968,4,35,708,58,0.9056317476100952,,,,,,PRUNED
13,0.43848167539267013,2026-05-15 17:04:11.788012,2026-05-15 17:04:13.066827,0 days 00:00:01.278815,0.8847911208853647,0.04794408445016526,3,49,1000,47,0.9058859546767686,0.51,0.0391,0.7976,0.5681,0.8066,COMPLETE
14,,2026-05-15 17:04:13.067067,2026-05-15 17:04:16.619090,0 days 00:00:03.552023,0.7248939743688466,0.02861167983573961,5,19,632,37,0.9198389491636618,,,,,,PRUNED
15,,2026-05-15 17:04:16.619333,2026-05-15 17:04:17.912958,0 days 00:00:01.293625,0.6817300518765068,0.05814890559131162,4,10,853,53,0.8524337374155861,,,,,,PRUNED
16,0.4467706013363029,2026-05-15 17:04:17.913182,2026-05-15 17:04:19.513587,0 days 00:00:01.600405,0.7553082698269054,0.02974671096460005,3,34,854,38,0.9423399163567342,0.51,0.0296,0.7988,0.5746,0.805,COMPLETE
