number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_subsample,user_attrs_best_thr,user_attrs_fold_recall_std,user_attrs_oof_auc,user_attrs_oof_f1,user_attrs_oof_recall,state
0,0.2597402597402597,2026-05-15 17:06:54.576770,2026-05-15 17:06:57.358960,0 days 00:00:02.782190,0.6232334448672797,0.08927180304353628,6,16,500,51,0.662397808134481,0.41,0.0235,0.7926,0.3923,0.8012,COMPLETE
1,0.26442548921224285,2026-05-15 17:06:57.359269,2026-05-15 17:06:59.050987,0 days 00:00:01.691718,0.6849356442713105,0.039913058785616795,3,49,893,50,0.9329770563201687,0.49,0.0328,0.8084,0.3989,0.812,COMPLETE
2,,2026-05-15 17:06:59.052289,2026-05-15 17:07:03.158064,0 days 00:00:04.105775,0.8447411578889518,0.015254729458052608,6,27,345,30,0.7164916560792167,,,,,,PRUNED
3,,2026-05-15 17:07:03.158306,2026-05-15 17:07:06.220008,0 days 00:00:03.061702,0.8056937753654446,0.019594972058679168,5,42,311,33,0.6798695128633439,,,,,,PRUNED
4,,2026-05-15 17:07:06.220245,2026-05-15 17:07:09.084192,0 days 00:00:02.863947,0.9862528132298237,0.011128853174905732,4,12,674,45,0.9795542149013333,,,,,,PRUNED
5,,2026-05-15 17:07:09.084426,2026-05-15 17:07:12.112698,0 days 00:00:03.028272,0.798070764044508,0.020165721691808594,7,28,847,20,0.6488152939379115,,,,,,PRUNED
6,0.25936739659367397,2026-05-15 17:07:12.112913,2026-05-15 17:07:13.882300,0 days 00:00:01.769387,0.8186841117373118,0.08115595675970502,6,22,227,28,0.8080272084711243,0.36,0.1443,0.798,0.3942,0.8213,COMPLETE
7,0.26010983524712933,2026-05-15 17:07:13.882537,2026-05-15 17:07:16.567088,0 days 00:00:02.684551,0.9687496940092467,0.09323621351781479,8,46,348,53,0.8391599915244341,0.38,0.0499,0.7991,0.3929,0.8028,COMPLETE
8,0.257590597453477,2026-05-15 17:07:16.567334,2026-05-15 17:07:19.357824,0 days 00:00:02.790490,0.9314950036607718,0.015703008378806716,4,25,270,18,0.7085396127095583,0.45,0.1527,0.7962,0.3909,0.8105,COMPLETE
9,,2026-05-15 17:07:19.358075,2026-05-15 17:07:21.047298,0 days 00:00:01.689223,0.9947547746402069,0.01909565280104538,3,42,485,42,0.6298202574719083,,,,,,PRUNED
10,0.26004962779156326,2026-05-15 17:07:21.047565,2026-05-15 17:07:22.396914,0 days 00:00:01.349349,0.6323550505495388,0.045220343877834406,3,36,984,63,0.9630659181130072,0.49,0.0269,0.8081,0.3934,0.8074,COMPLETE
11,0.2598112270243418,2026-05-15 17:07:22.397244,2026-05-15 17:07:26.366314,0 days 00:00:03.969070,0.710589237324792,0.04235294798867902,8,48,715,60,0.8739860241983901,0.39,0.0278,0.7973,0.3929,0.8059,COMPLETE
12,0.2615,2026-05-15 17:07:26.366569,2026-05-15 17:07:29.685210,0 days 00:00:03.318641,0.7058638531855117,0.057762061616613375,8,48,996,53,0.8844557849230781,0.39,0.0592,0.7997,0.3949,0.8059,COMPLETE
13,0.2620215897939156,2026-05-15 17:07:29.685458,2026-05-15 17:07:32.710942,0 days 00:00:03.025484,0.6908556046603515,0.05816035933732946,7,50,999,53,0.9087718335040773,0.4,0.0407,0.7997,0.3975,0.8228,COMPLETE
14,0.258399209486166,2026-05-15 17:07:32.711172,2026-05-15 17:07:37.619915,0 days 00:00:04.908743,0.6990709654796049,0.029342479624301004,7,35,847,47,0.9318813999132,0.4,0.0362,0.8015,0.3913,0.8059,COMPLETE
15,,2026-05-15 17:07:37.620164,2026-05-15 17:07:39.957501,0 days 00:00:02.337337,0.7442882111147838,0.029684667413844616,5,50,856,57,0.9149104718757401,,,,,,PRUNED
16,0.26097804391217566,2026-05-15 17:07:39.957724,2026-05-15 17:07:43.183057,0 days 00:00:03.225333,0.6607055468518968,0.061654628965061346,7,37,914,38,0.9877079408194872,0.4,0.0096,0.8008,0.3943,0.8059,COMPLETE
17,0.2594409024031388,2026-05-15 17:07:43.183307,2026-05-15 17:07:44.929738,0 days 00:00:01.746431,0.7546985581315012,0.03872536207994041,4,42,724,38,0.8181122178178346,0.47,0.0178,0.807,0.3936,0.8151,COMPLETE
18,0.26078234704112335,2026-05-15 17:07:44.929975,2026-05-15 17:07:46.903038,0 days 00:00:01.973063,0.6052716857523694,0.06295622637867052,5,34,792,48,0.7555076779145545,0.44,0.0397,0.8013,0.3935,0.8012,COMPLETE
19,0.26531645569620255,2026-05-15 17:07:46.903306,2026-05-15 17:07:48.490404,0 days 00:00:01.587098,0.665622214390892,0.033246381709993965,3,43,925,57,0.8694719116934351,0.5,0.0239,0.8079,0.3994,0.8074,COMPLETE
20,0.25997045790251105,2026-05-15 17:07:48.490644,2026-05-15 17:07:50.034527,0 days 00:00:01.543883,0.866375823657107,0.02571229104369508,3,43,659,64,0.7730982444721965,0.49,0.0126,0.8075,0.394,0.8136,COMPLETE
21,0.2613240418118467,2026-05-15 17:07:50.034758,2026-05-15 17:07:51.765505,0 days 00:00:01.730747,0.6681978987775602,0.03622646337618903,3,50,930,57,0.8703641931364378,0.49,0.0436,0.8083,0.395,0.8089,COMPLETE
22,0.26245019920318724,2026-05-15 17:07:51.765754,2026-05-15 17:07:53.536187,0 days 00:00:01.770433,0.7567912466208695,0.04792932391418943,4,45,914,56,0.9329198585918606,0.47,0.0394,0.8077,0.3967,0.812,COMPLETE
23,0.26310483870967744,2026-05-15 17:07:53.536433,2026-05-15 17:07:55.233521,0 days 00:00:01.697088,0.7602589258597592,0.043840039513067856,4,39,807,58,0.9464322236819168,0.48,0.0326,0.8064,0.3965,0.8043,COMPLETE
24,0.2614928324270885,2026-05-15 17:07:55.233754,2026-05-15 17:07:57.180097,0 days 00:00:01.946343,0.738584506507603,0.025324462927066506,3,39,774,49,0.9563614546239996,0.49,0.0259,0.8084,0.396,0.8151,COMPLETE
25,0.2582716049382716,2026-05-15 17:07:57.180349,2026-05-15 17:07:59.332996,0 days 00:00:02.152647,0.6523873114644054,0.03549588869698498,4,31,604,59,0.845953287745711,0.47,0.0286,0.8043,0.3912,0.8059,COMPLETE
26,0.259222333000997,2026-05-15 17:07:59.333240,2026-05-15 17:08:00.318736,0 days 00:00:00.985496,0.7809509788543206,0.07095993631254198,3,40,790,44,0.8982895892547735,0.49,0.0211,0.8069,0.3917,0.8012,COMPLETE
27,0.26006961710591747,2026-05-15 17:08:00.319089,2026-05-15 17:08:01.944094,0 days 00:00:01.625005,0.722661579879925,0.04754602697128895,4,32,879,61,0.942387002905389,0.47,0.0268,0.8051,0.3932,0.8059,COMPLETE
28,0.2670076726342711,2026-05-15 17:08:01.944329,2026-05-15 17:08:03.563686,0 days 00:00:01.619357,0.6815758580955628,0.033542250465756325,3,45,505,55,0.8569070493304349,0.49,0.0219,0.8071,0.4009,0.8043,COMPLETE
29,0.2652749490835031,2026-05-15 17:08:03.563918,2026-05-15 17:08:05.707390,0 days 00:00:02.143472,0.6223415792587438,0.02515500314470519,3,45,486,53,0.7770350074620342,0.49,0.0237,0.8064,0.3988,0.8028,COMPLETE
30,0.2694300518134715,2026-05-15 17:08:05.707684,2026-05-15 17:08:09.619158,0 days 00:00:03.911474,0.6253861525439248,0.025258064296712224,5,45,449,53,0.77472028921694,0.46,0.0182,0.8056,0.4033,0.8012,COMPLETE
31,0.26639344262295084,2026-05-15 17:08:09.619395,2026-05-15 17:08:13.786052,0 days 00:00:04.166657,0.6027375165542506,0.023912362147784496,5,45,473,54,0.7692238030378102,0.46,0.0241,0.806,0.3998,0.8012,COMPLETE
32,0.2654075546719682,2026-05-15 17:08:13.786287,2026-05-15 17:08:16.819561,0 days 00:00:03.033274,0.6015050908141895,0.031621698292382226,5,46,432,55,0.7427970560356261,0.45,0.0179,0.8046,0.4014,0.8228,COMPLETE
33,0.2612568035625928,2026-05-15 17:08:16.819797,2026-05-15 17:08:20.998116,0 days 00:00:04.178319,0.6026908839126084,0.02252317382613511,5,46,423,51,0.7319393047525522,0.43,0.0921,0.7994,0.3955,0.8136,COMPLETE
34,0.26223776223776224,2026-05-15 17:08:20.998357,2026-05-15 17:08:25.064266,0 days 00:00:04.065909,0.62945480332058,0.028764950902977444,6,47,542,55,0.7418968070627033,0.43,0.0183,0.8031,0.3961,0.8089,COMPLETE
35,0.26091269841269843,2026-05-15 17:08:25.064513,2026-05-15 17:08:29.110337,0 days 00:00:04.045824,0.6407913685599131,0.015932391053233845,5,21,412,46,0.6997162173363397,0.42,0.1014,0.7995,0.3947,0.8105,COMPLETE
36,,2026-05-15 17:08:29.110585,2026-05-15 17:08:35.168499,0 days 00:00:06.057914,0.6026323473857408,0.01279426945860442,6,40,424,61,0.7835096813419846,,,,,,PRUNED
37,0.26495726495726496,2026-05-15 17:08:35.168722,2026-05-15 17:08:38.666504,0 days 00:00:03.497782,0.6744655716629784,0.021883950797773465,5,44,545,50,0.6807809435116113,0.44,0.0856,0.8022,0.3995,0.812,COMPLETE
38,0.2574938574938575,2026-05-15 17:08:38.666731,2026-05-15 17:08:43.182663,0 days 00:00:04.515932,0.6207658235613494,0.017921458600297417,5,10,371,43,0.8206631609315278,0.4,0.1562,0.7913,0.3905,0.8074,COMPLETE
39,0.2637695805962607,2026-05-15 17:08:43.182904,2026-05-15 17:08:46.539272,0 days 00:00:03.356368,0.6459099431458509,0.03190117706280126,6,37,533,30,0.7959323272823238,0.42,0.0322,0.8016,0.3973,0.8043,COMPLETE
40,,2026-05-15 17:08:46.539503,2026-05-15 17:08:48.622531,0 days 00:00:02.083028,0.8951482187412004,0.023411225049727515,5,18,595,51,0.7494861593720038,,,,,,PRUNED
41,0.2578125,2026-05-15 17:08:48.622770,2026-05-15 17:08:50.713175,0 days 00:00:02.090405,0.684340731903069,0.03389566011646809,4,42,458,55,0.8533179662717505,0.44,0.0932,0.7978,0.3915,0.8136,COMPLETE
42,0.2548732943469786,2026-05-15 17:08:50.713400,2026-05-15 17:08:52.881470,0 days 00:00:02.168070,0.6553589313598337,0.028189953221339745,4,47,301,62,0.6010671845109126,0.43,0.1266,0.7943,0.3873,0.8059,COMPLETE
43,0.2625,2026-05-15 17:08:52.881707,2026-05-15 17:08:55.772296,0 days 00:00:02.890589,0.6193042828039619,0.03285631503692912,5,44,394,55,0.8289554209964176,0.45,0.0236,0.804,0.3964,0.8089,COMPLETE
44,0.25632295719844356,2026-05-15 17:08:55.772533,2026-05-15 17:08:58.930637,0 days 00:00:03.158104,0.6399514785154772,0.03897623581931274,6,41,583,59,0.7973336241630447,0.42,0.0277,0.8036,0.3896,0.812,COMPLETE
