number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_subsample,user_attrs_best_thr,user_attrs_fold_recall_std,user_attrs_oof_auc,user_attrs_oof_f1,user_attrs_oof_recall,state
0,0.2563725490196078,2026-05-15 16:59:48.694104,2026-05-15 16:59:51.381434,0 days 00:00:02.687330,0.6232334448672797,0.08927180304353628,6,16,500,51,0.662397808134481,0.4,0.0381,0.7959,0.389,0.8059,COMPLETE
1,0.25823905558288246,2026-05-15 16:59:51.381772,2026-05-15 16:59:52.737697,0 days 00:00:01.355925,0.6849356442713105,0.039913058785616795,3,49,893,50,0.9329770563201687,0.47,0.0474,0.8019,0.3915,0.8089,COMPLETE
2,,2026-05-15 16:59:52.737972,2026-05-15 16:59:55.441068,0 days 00:00:02.703096,0.8447411578889518,0.015254729458052608,6,27,345,30,0.7164916560792167,,,,,,PRUNED
3,,2026-05-15 16:59:55.441352,2026-05-15 16:59:57.392885,0 days 00:00:01.951533,0.8056937753654446,0.019594972058679168,5,42,311,33,0.6798695128633439,,,,,,PRUNED
4,,2026-05-15 16:59:57.393254,2026-05-15 17:00:00.032323,0 days 00:00:02.639069,0.9862528132298237,0.011128853174905732,4,12,674,45,0.9795542149013333,,,,,,PRUNED
5,,2026-05-15 17:00:00.032546,2026-05-15 17:00:02.053629,0 days 00:00:02.021083,0.798070764044508,0.020165721691808594,7,28,847,20,0.6488152939379115,,,,,,PRUNED
6,,2026-05-15 17:00:02.053855,2026-05-15 17:00:03.896278,0 days 00:00:01.842423,0.8186841117373118,0.08115595675970502,6,22,227,28,0.8080272084711243,,,,,,PRUNED
7,,2026-05-15 17:00:03.896523,2026-05-15 17:00:06.439121,0 days 00:00:02.542598,0.9687496940092467,0.09323621351781479,8,46,348,53,0.8391599915244341,,,,,,PRUNED
8,0.2545454545454545,2026-05-15 17:00:06.439338,2026-05-15 17:00:09.289941,0 days 00:00:02.850603,0.9314950036607718,0.015703008378806716,4,25,270,18,0.7085396127095583,0.44,0.0893,0.7971,0.3885,0.8197,COMPLETE
9,,2026-05-15 17:00:09.290186,2026-05-15 17:00:10.587287,0 days 00:00:01.297101,0.9947547746402069,0.01909565280104538,3,42,485,42,0.6298202574719083,,,,,,PRUNED
10,0.25938735177865613,2026-05-15 17:00:10.587525,2026-05-15 17:00:11.965570,0 days 00:00:01.378045,0.6323550505495388,0.045220343877834406,3,36,984,63,0.9630659181130072,0.49,0.0209,0.8069,0.3928,0.8089,COMPLETE
11,0.2564728871519297,2026-05-15 17:00:11.965823,2026-05-15 17:00:13.353824,0 days 00:00:01.388001,0.6273081880110044,0.04235294798867902,3,35,985,64,0.9866214592657089,0.49,0.0279,0.8068,0.3895,0.8089,COMPLETE
12,,2026-05-15 17:00:13.354084,2026-05-15 17:00:14.797887,0 days 00:00:01.443803,0.6976364392844523,0.04240288366889651,4,35,996,64,0.9049056865468579,,,,,,PRUNED
13,0.26205867727498755,2026-05-15 17:00:14.798124,2026-05-15 17:00:16.011395,0 days 00:00:01.213271,0.6908556046603515,0.04921139543184986,3,50,806,55,0.9087718335040773,0.49,0.0282,0.8071,0.3962,0.812,COMPLETE
14,,2026-05-15 17:00:16.011616,2026-05-15 17:00:17.970866,0 days 00:00:01.959250,0.7248939743688466,0.05616881503297648,5,35,737,58,0.8887529760462219,,,,,,PRUNED
15,0.26313156578289143,2026-05-15 17:00:17.971101,2026-05-15 17:00:18.929101,0 days 00:00:00.958000,0.7442882111147838,0.06324950245396298,3,50,822,58,0.8633028407457006,0.48,0.0247,0.8051,0.3973,0.8105,COMPLETE
16,,2026-05-15 17:00:18.929330,2026-05-15 17:00:20.004120,0 days 00:00:01.074790,0.7495910822966338,0.061654628965061346,4,50,772,56,0.8559603869474018,,,,,,PRUNED
17,,2026-05-15 17:00:20.004360,2026-05-15 17:00:22.278926,0 days 00:00:02.274566,0.7566575290764276,0.02943794909715663,5,43,603,46,0.795940740497668,,,,,,PRUNED
18,0.25871379479626905,2026-05-15 17:00:22.279150,2026-05-15 17:00:23.701245,0 days 00:00:01.422095,0.8666142557230876,0.02960097329942777,3,46,868,39,0.7607621512096837,0.48,0.0203,0.8035,0.3924,0.812,COMPLETE
19,,2026-05-15 17:00:23.701493,2026-05-15 17:00:24.886103,0 days 00:00:01.184610,0.6760347307832012,0.0634371863316895,4,40,768,59,0.8784442314754786,,,,,,PRUNED
20,,2026-05-15 17:00:24.886401,2026-05-15 17:00:26.903580,0 days 00:00:02.017179,0.7683712617114657,0.06867697193227433,8,50,659,36,0.9471675033043835,,,,,,PRUNED
21,0.25195762321510823,2026-05-15 17:00:26.903823,2026-05-15 17:00:28.042303,0 days 00:00:01.138480,0.6553473048146418,0.053154858497633885,3,37,917,60,0.9370945381966373,0.44,0.1112,0.7987,0.3879,0.8428,COMPLETE
22,0.25970149253731345,2026-05-15 17:00:28.042543,2026-05-15 17:00:29.560403,0 days 00:00:01.517860,0.7166482192409259,0.03463590083607436,3,46,821,54,0.9111996629935674,0.49,0.0321,0.8069,0.3926,0.8043,COMPLETE
23,,2026-05-15 17:00:29.560652,2026-05-15 17:00:31.069121,0 days 00:00:01.508469,0.7249295845858388,0.033023673930179805,4,46,814,54,0.9177821035896214,,,,,,PRUNED
24,0.25920398009950246,2026-05-15 17:00:31.069363,2026-05-15 17:00:32.683563,0 days 00:00:01.614200,0.7153273016380798,0.0342175458099165,3,46,713,48,0.8466964526414431,0.47,0.0879,0.7993,0.3919,0.8028,COMPLETE
25,,2026-05-15 17:00:32.683805,2026-05-15 17:00:35.115919,0 days 00:00:02.432114,0.6576700801445776,0.02407960794343155,4,32,564,56,0.8144098177614996,,,,,,PRUNED
26,0.2657520325203252,2026-05-15 17:00:35.116164,2026-05-15 17:00:36.006011,0 days 00:00:00.889847,0.7417149127789806,0.07220020364833574,3,48,804,43,0.8685877995561365,0.49,0.0198,0.806,0.3997,0.8059,COMPLETE
27,0.2635306019221042,2026-05-15 17:00:36.006247,2026-05-15 17:00:37.375463,0 days 00:00:01.369216,0.7697857720683472,0.08013708084465493,5,39,924,44,0.775874913508635,0.42,0.0534,0.8053,0.3968,0.8028,COMPLETE
28,0.25547445255474455,2026-05-15 17:00:37.375710,2026-05-15 17:00:39.671331,0 days 00:00:02.295621,0.8907495719721414,0.0709300470344859,7,39,880,41,0.7649011048051568,0.36,0.1532,0.7946,0.3883,0.8089,COMPLETE
29,,2026-05-15 17:00:39.671580,2026-05-15 17:00:41.076019,0 days 00:00:01.404439,0.7802457510378616,0.08245710856808489,5,31,919,24,0.7655230686005067,,,,,,PRUNED
30,,2026-05-15 17:00:41.076267,2026-05-15 17:00:42.926338,0 days 00:00:01.850071,0.8390841786446169,0.09670583742848267,7,43,449,36,0.6001048449218851,,,,,,PRUNED
31,0.2579539892315223,2026-05-15 17:00:42.926566,2026-05-15 17:00:44.153917,0 days 00:00:01.227351,0.7476058693260693,0.05096207519505494,3,48,801,50,0.8717879605436192,0.48,0.0134,0.8058,0.3915,0.812,COMPLETE
32,0.26003917727717923,2026-05-15 17:00:44.154173,2026-05-15 17:00:45.542601,0 days 00:00:01.388428,0.608035372586641,0.07765170126614833,4,48,939,45,0.8228234495717834,0.43,0.1287,0.7957,0.3946,0.8182,COMPLETE
33,0.2639237330657301,2026-05-15 17:00:45.542836,2026-05-15 17:00:46.491387,0 days 00:00:00.948551,0.6853201118680332,0.07233003957060541,3,40,713,50,0.7828436536165114,0.48,0.025,0.8047,0.3982,0.8105,COMPLETE
34,,2026-05-15 17:00:46.491634,2026-05-15 17:00:47.899817,0 days 00:00:01.408183,0.7861726775190084,0.07338573376294374,5,41,684,50,0.7807818337980462,,,,,,PRUNED
35,,2026-05-15 17:00:47.900039,2026-05-15 17:00:49.547561,0 days 00:00:01.647522,0.733427152886985,0.08674803619837847,6,38,630,43,0.7320027280800695,,,,,,PRUNED
36,0.2690329218106996,2026-05-15 17:00:49.547799,2026-05-15 17:00:50.824749,0 days 00:00:01.276950,0.8229343155463744,0.060565443745231706,4,43,729,48,0.7249143523144639,0.48,0.0212,0.8046,0.4034,0.8059,COMPLETE
37,,2026-05-15 17:00:50.825075,2026-05-15 17:00:52.054968,0 days 00:00:01.229893,0.823008048869822,0.09588086983241521,5,44,745,38,0.6838412790856493,,,,,,PRUNED
38,,2026-05-15 17:00:52.055212,2026-05-15 17:00:53.282064,0 days 00:00:01.226852,0.8834168678489352,0.05776891911009315,4,16,571,47,0.7359374999082133,,,,,,PRUNED
39,,2026-05-15 17:00:53.282298,2026-05-15 17:00:57.003810,0 days 00:00:03.721512,0.8014799420865396,0.01037995197395602,5,40,723,30,0.6991663356638441,,,,,,PRUNED
