number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_subsample,user_attrs_best_thr,user_attrs_fold_recall_std,user_attrs_oof_auc,user_attrs_oof_f1,user_attrs_oof_recall,state
0,0.5211267605633803,2026-05-15 15:41:46.790228,2026-05-15 15:41:50.387674,0 days 00:00:03.597446,0.6232334448672797,0.08927180304353628,6,16,500,51,0.662397808134481,0.43,0.0201,0.8506,0.6471,0.8534,COMPLETE
1,0.5190735694822888,2026-05-15 15:41:50.387995,2026-05-15 15:41:52.240357,0 days 00:00:01.852362,0.6849356442713105,0.039913058785616795,3,49,893,50,0.9329770563201687,0.49,0.0309,0.8567,0.6447,0.8504,COMPLETE
2,,2026-05-15 15:41:52.240604,2026-05-15 15:41:56.261659,0 days 00:00:04.021055,0.8447411578889518,0.015254729458052608,6,27,345,30,0.7164916560792167,,,,,,PRUNED
3,,2026-05-15 15:41:56.261901,2026-05-15 15:41:59.302909,0 days 00:00:03.041008,0.8056937753654446,0.019594972058679168,5,42,311,33,0.6798695128633439,,,,,,PRUNED
4,,2026-05-15 15:41:59.303123,2026-05-15 15:42:03.742357,0 days 00:00:04.439234,0.9862528132298237,0.011128853174905732,4,12,674,45,0.9795542149013333,,,,,,PRUNED
5,,2026-05-15 15:42:03.742577,2026-05-15 15:42:07.799120,0 days 00:00:04.056543,0.798070764044508,0.020165721691808594,7,28,847,20,0.6488152939379115,,,,,,PRUNED
6,,2026-05-15 15:42:07.799344,2026-05-15 15:42:09.827761,0 days 00:00:02.028417,0.8186841117373118,0.08115595675970502,6,22,227,28,0.8080272084711243,,,,,,PRUNED
7,0.5107692307692308,2026-05-15 15:42:09.828000,2026-05-15 15:42:13.148032,0 days 00:00:03.320032,0.9687496940092467,0.09323621351781479,8,46,348,53,0.8391599915244341,0.42,0.0189,0.8504,0.6422,0.8646,COMPLETE
8,,2026-05-15 15:42:13.148271,2026-05-15 15:42:15.927812,0 days 00:00:02.779541,0.9314950036607718,0.015703008378806716,4,25,270,18,0.7085396127095583,,,,,,PRUNED
9,0.5111209964412812,2026-05-15 15:42:15.928037,2026-05-15 15:42:18.478401,0 days 00:00:02.550364,0.9947547746402069,0.01909565280104538,3,42,485,42,0.6298202574719083,0.48,0.0311,0.8554,0.6398,0.8549,COMPLETE
10,0.5127860026917901,2026-05-15 15:42:18.478630,2026-05-15 15:42:24.593520,0 days 00:00:06.114890,0.6060576948411027,0.05083158501542684,8,10,630,63,0.7592173368880707,0.38,0.185,0.8324,0.6398,0.8504,COMPLETE
11,0.5195099818511797,2026-05-15 15:42:24.593810,2026-05-15 15:42:26.816538,0 days 00:00:02.222728,0.6228819843226576,0.04235294798867902,3,35,972,52,0.9193086824158574,0.48,0.0306,0.8572,0.6454,0.8519,COMPLETE
12,0.5211652253072372,2026-05-15 15:42:26.816759,2026-05-15 15:42:29.854509,0 days 00:00:03.037750,0.6275985996354054,0.06034638966699871,5,36,491,60,0.8715792259594303,0.46,0.0236,0.855,0.6467,0.8519,COMPLETE
13,0.5162162162162162,2026-05-15 15:42:29.854754,2026-05-15 15:42:32.641130,0 days 00:00:02.786376,0.6908556046603513,0.06562188556753848,5,19,476,62,0.8592374410233701,0.45,0.0222,0.8532,0.6431,0.8527,COMPLETE
14,0.5194746376811594,2026-05-15 15:42:32.641379,2026-05-15 15:42:36.519370,0 days 00:00:03.877991,0.6974511378278996,0.06527756262716974,7,34,494,57,0.7627531550199292,0.4,0.1216,0.8343,0.6458,0.8534,COMPLETE
15,0.5181859003143242,2026-05-15 15:42:36.519604,2026-05-15 15:42:39.478042,0 days 00:00:02.958438,0.7280794868779525,0.09797562012862501,6,17,716,58,0.8816249586668019,0.44,0.0264,0.8514,0.6463,0.8586,COMPLETE
16,,2026-05-15 15:42:39.478290,2026-05-15 15:42:43.043152,0 days 00:00:03.564862,0.6384788380002184,0.03176063125589943,5,34,568,46,0.6014023293551372,,,,,,PRUNED
17,0.5180831826401446,2026-05-15 15:42:43.043399,2026-05-15 15:42:46.707583,0 days 00:00:03.664184,0.7668058939692798,0.061059588944956396,7,32,417,38,0.7758428741738024,0.44,0.0265,0.8506,0.6445,0.8527,COMPLETE
18,0.5134770889487871,2026-05-15 15:42:46.707863,2026-05-15 15:42:50.139459,0 days 00:00:03.431596,0.6656400711179407,0.02932022841650346,4,39,568,57,0.8136024314946257,0.47,0.0316,0.8553,0.6403,0.8504,COMPLETE
19,,2026-05-15 15:42:50.139699,2026-05-15 15:42:53.363363,0 days 00:00:03.223664,0.87436626601478,0.07423829706616451,6,15,736,49,0.9985678841485178,,,,,,PRUNED
20,0.5166516651665166,2026-05-15 15:42:53.363601,2026-05-15 15:42:56.206182,0 days 00:00:02.842581,0.741949318199026,0.05246981648746541,5,23,405,64,0.9011120201818196,0.46,0.0245,0.8525,0.6439,0.8542,COMPLETE
21,0.5176470588235295,2026-05-15 15:42:56.206438,2026-05-15 15:42:58.344200,0 days 00:00:02.137762,0.6044214006550079,0.03997328716254893,3,37,985,53,0.9298528902087924,0.48,0.0315,0.8575,0.6438,0.8512,COMPLETE
22,0.5140813589628968,2026-05-15 15:42:58.344432,2026-05-15 15:43:00.630532,0 days 00:00:02.286100,0.6341541475881457,0.044592487617883536,4,31,809,53,0.9472908016985485,0.47,0.0296,0.8557,0.6423,0.8557,COMPLETE
23,0.5135736537605696,2026-05-15 15:43:00.630786,2026-05-15 15:43:07.058829,0 days 00:00:06.428043,0.6460986932631541,0.029602448665092002,7,39,563,39,0.8937564266357282,0.42,0.04,0.8455,0.6427,0.8586,COMPLETE
24,0.517163504968383,2026-05-15 15:43:07.059066,2026-05-15 15:43:09.444867,0 days 00:00:02.385801,0.6052643095034231,0.05536202005925596,4,35,996,57,0.8555454825939675,0.47,0.0304,0.8563,0.6436,0.8519,COMPLETE
25,0.5191527715187021,2026-05-15 15:43:09.445134,2026-05-15 15:43:10.645929,0 days 00:00:01.200795,0.7189175222607623,0.07725418249590615,3,29,432,49,0.9529658243749084,0.48,0.0247,0.8575,0.6466,0.8571,COMPLETE
26,,2026-05-15 15:43:10.646178,2026-05-15 15:43:14.477724,0 days 00:00:03.831546,0.6554081478811171,0.03418189950855937,5,43,628,61,0.8317421486061676,,,,,,PRUNED
