number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_subsample,user_attrs_best_thr,user_attrs_fold_recall_std,user_attrs_oof_auc,user_attrs_oof_f1,user_attrs_oof_recall,state
0,0.5385,2026-05-15 16:56:30.629433,2026-05-15 16:56:34.089554,0 days 00:00:03.460121,0.6232334448672797,0.08927180304353628,6,16,500,51,0.662397808134481,0.49,0.0236,0.849,0.6441,0.8013,COMPLETE
1,0.5397301349325337,2026-05-15 16:56:34.090252,2026-05-15 16:56:35.963278,0 days 00:00:01.873026,0.6849356442713105,0.039913058785616795,3,49,893,50,0.9329770563201687,0.54,0.0289,0.8562,0.6457,0.8036,COMPLETE
2,,2026-05-15 16:56:35.963526,2026-05-15 16:56:39.893311,0 days 00:00:03.929785,0.8447411578889518,0.015254729458052608,6,27,345,30,0.7164916560792167,,,,,,PRUNED
3,,2026-05-15 16:56:39.893552,2026-05-15 16:56:43.423677,0 days 00:00:03.530125,0.8056937753654446,0.019594972058679168,5,42,311,33,0.6798695128633439,,,,,,PRUNED
4,,2026-05-15 16:56:43.423900,2026-05-15 16:56:48.100798,0 days 00:00:04.676898,0.9862528132298237,0.011128853174905732,4,12,674,45,0.9795542149013333,,,,,,PRUNED
5,,2026-05-15 16:56:48.101039,2026-05-15 16:56:52.205921,0 days 00:00:04.104882,0.798070764044508,0.020165721691808594,7,28,847,20,0.6488152939379115,,,,,,PRUNED
6,,2026-05-15 16:56:52.206206,2026-05-15 16:56:54.216630,0 days 00:00:02.010424,0.8186841117373118,0.08115595675970502,6,22,227,28,0.8080272084711243,,,,,,PRUNED
7,0.5329045027214251,2026-05-15 16:56:54.216896,2026-05-15 16:56:57.194227,0 days 00:00:02.977331,0.9687496940092467,0.09323621351781479,8,46,348,53,0.8391599915244341,0.5,0.0187,0.849,0.6401,0.8013,COMPLETE
8,,2026-05-15 16:56:57.194458,2026-05-15 16:56:59.959694,0 days 00:00:02.765236,0.9314950036607718,0.015703008378806716,4,25,270,18,0.7085396127095583,,,,,,PRUNED
9,0.5373947498761763,2026-05-15 16:56:59.959931,2026-05-15 16:57:02.717351,0 days 00:00:02.757420,0.9947547746402069,0.01909565280104538,3,42,485,42,0.6298202574719083,0.54,0.0331,0.855,0.6453,0.8073,COMPLETE
10,0.5349753694581281,2026-05-15 16:57:02.717628,2026-05-15 16:57:04.484949,0 days 00:00:01.767321,0.6323550505495388,0.045220343877834406,3,36,984,63,0.9630659181130072,0.52,0.0378,0.8533,0.6437,0.808,COMPLETE
11,0.5394605394605395,2026-05-15 16:57:04.485179,2026-05-15 16:57:08.043956,0 days 00:00:03.558777,0.6152971089865081,0.04906030437328794,5,10,633,52,0.8824034279542556,0.51,0.0286,0.8516,0.6455,0.8036,COMPLETE
12,,2026-05-15 16:57:08.044195,2026-05-15 16:57:10.446150,0 days 00:00:02.401955,0.7058638531855117,0.04164222660489944,4,35,737,61,0.9041703774203227,,,,,,PRUNED
13,0.5465587044534413,2026-05-15 16:57:10.446382,2026-05-15 16:57:13.327038,0 days 00:00:02.880656,0.6908556046603515,0.05222272353399581,5,49,1000,53,0.882546920865684,0.53,0.0246,0.8552,0.6506,0.8036,COMPLETE
14,,2026-05-15 16:57:13.327264,2026-05-15 16:57:15.234861,0 days 00:00:01.907597,0.7131486436255022,0.030652645951749685,3,49,993,57,0.9193410784822715,,,,,,PRUNED
15,0.5366583541147132,2026-05-15 16:57:15.235114,2026-05-15 16:57:19.428035,0 days 00:00:04.192921,0.7028953142543801,0.06464943019529874,8,50,856,45,0.7653656398770852,0.48,0.0251,0.8474,0.6426,0.8006,COMPLETE
16,0.5354486861675756,2026-05-15 16:57:19.428273,2026-05-15 16:57:23.134920,0 days 00:00:03.706647,0.7495910822966338,0.030662207289148678,5,37,862,38,0.8557664328881217,0.51,0.0202,0.8525,0.6427,0.8036,COMPLETE
17,0.5341188021600393,2026-05-15 16:57:23.135150,2026-05-15 16:57:24.787145,0 days 00:00:01.651995,0.6684375636126543,0.06254517238239697,4,43,925,49,0.9397670235090143,0.5,0.0694,0.8485,0.6436,0.8095,COMPLETE
18,0.5371571072319202,2026-05-15 16:57:24.787393,2026-05-15 16:57:31.478458,0 days 00:00:06.691065,0.760569409374892,0.03592199367393477,7,46,747,57,0.9950395475311171,0.49,0.0211,0.8521,0.6432,0.8013,COMPLETE
19,0.531081742535487,2026-05-15 16:57:31.478708,2026-05-15 16:57:33.816037,0 days 00:00:02.337329,0.665622214390892,0.02632171695547222,3,32,777,37,0.774439933428912,0.5,0.0963,0.8454,0.6407,0.8073,COMPLETE
20,0.5388059701492537,2026-05-15 16:57:33.816291,2026-05-15 16:57:38.050408,0 days 00:00:04.234117,0.7614716098807881,0.05747308268204017,7,46,917,58,0.8441655035495674,0.5,0.0158,0.8517,0.6458,0.8058,COMPLETE
21,0.5381165919282511,2026-05-15 16:57:38.050657,2026-05-15 16:57:41.670891,0 days 00:00:03.620234,0.6098136239255836,0.05243360007893005,5,18,592,48,0.888608648425476,0.51,0.0333,0.8536,0.6446,0.8036,COMPLETE
22,0.5386521308225967,2026-05-15 16:57:41.671144,2026-05-15 16:57:45.996991,0 days 00:00:04.325847,0.6657241577488389,0.04299436032532184,5,11,626,53,0.8776069364124194,0.5,0.0356,0.8495,0.6466,0.8088,COMPLETE
23,0.5257583052479537,2026-05-15 16:57:45.997237,2026-05-15 16:57:47.583539,0 days 00:00:01.586302,0.6046483846510212,0.07491471434932574,4,39,509,54,0.9388265532966822,0.48,0.1157,0.8458,0.6384,0.8125,COMPLETE
24,0.5398712233779098,2026-05-15 16:57:47.583831,2026-05-15 16:57:50.681967,0 days 00:00:03.098136,0.6515734196316331,0.050309926743263025,5,31,913,46,0.8127602111739181,0.51,0.0232,0.852,0.6482,0.811,COMPLETE
25,0.5251694094869312,2026-05-15 16:57:50.682206,2026-05-15 16:57:54.802388,0 days 00:00:04.120182,0.730611669302351,0.03716671732905777,6,33,931,43,0.7741966626735901,0.45,0.1925,0.8378,0.6364,0.8073,COMPLETE
26,0.5419354838709678,2026-05-15 16:57:54.802632,2026-05-15 16:57:56.426186,0 days 00:00:01.623554,0.6562841082854954,0.07095993631254198,4,49,816,40,0.8279621902518962,0.51,0.0458,0.8504,0.6502,0.8125,COMPLETE
27,0.5366336633663367,2026-05-15 16:57:56.426412,2026-05-15 16:57:58.127675,0 days 00:00:01.701263,0.6448450201170167,0.07138939674576213,4,39,813,36,0.8092762425335316,0.5,0.0717,0.8469,0.6445,0.8065,COMPLETE
28,0.544727636181909,2026-05-15 16:57:58.127914,2026-05-15 16:58:00.159187,0 days 00:00:02.031273,0.6543570171176407,0.09986504317167955,5,22,989,25,0.7438845246147453,0.51,0.0294,0.8533,0.6517,0.811,COMPLETE
29,0.5347222222222222,2026-05-15 16:58:00.159436,2026-05-15 16:58:02.341967,0 days 00:00:02.182531,0.6881161237473148,0.09821905193888376,6,22,993,25,0.7405114480881256,0.51,0.03,0.852,0.6417,0.8021,COMPLETE
30,0.5424575424575424,2026-05-15 16:58:02.342199,2026-05-15 16:58:04.158832,0 days 00:00:01.816633,0.8888476991117966,0.08140685946301703,5,17,795,22,0.6001048449218851,0.52,0.0295,0.8524,0.6491,0.808,COMPLETE
