threshold,recall,precision,f1,tn,fp,fn,tp
0.1,0.9963008631319359,0.16598192276088744,0.28455714034160945,1162,4060,3,808
0.11,0.9963008631319359,0.16928556463440184,0.28939828080229224,1257,3965,3,808
0.12,0.9963008631319359,0.17224472393945853,0.2937113776808433,1339,3883,3,808
0.13,0.9950678175092479,0.17608553349334496,0.2992213570634038,1446,3776,4,807
0.14,0.9913686806411838,0.17834960070984915,0.30231246474901297,1518,3704,7,804
0.15,0.9913686806411838,0.1816128303591597,0.30698739977090495,1599,3623,7,804
0.16,0.9889025893958077,0.18386061439706555,0.31007152522714093,1662,3560,9,802
0.17,0.9864364981504316,0.18643672803542297,0.31360250882007057,1731,3491,11,800
0.18,0.9864364981504316,0.18961839298411945,0.31809145129224653,1803,3419,11,800
0.19,0.9839704069050554,0.19122933141624732,0.3202247191011236,1847,3375,13,798
0.2,0.9790382244143033,0.19267168163067216,0.3219789132197891,1895,3327,17,794
0.21,0.9753390875462392,0.19463582677165353,0.3245128205128205,1949,3273,20,791
0.22,0.9741060419235512,0.19671314741035856,0.3273254609488295,1996,3226,21,790
0.23,0.9704069050554871,0.19848675914249686,0.3295644891122278,2044,3178,24,787
0.24,0.9654747225647349,0.2003582395087001,0.3318499682136046,2097,3125,28,783
0.25,0.9630086313193588,0.20306812272490898,0.33540906162765727,2157,3065,30,781
0.26,0.9580764488286067,0.2040977147360126,0.33650931139021223,2192,3030,34,777
0.27,0.9556103575832305,0.20688734650293647,0.3401360544217687,2251,2971,36,775
0.28,0.9506781750924784,0.2085474709223695,0.34205856255545697,2296,2926,40,771
0.29,0.9494451294697904,0.21159659247045892,0.34606741573033706,2353,2869,41,770
0.3,0.9445129469790382,0.21337047353760447,0.3481027039309248,2398,2824,45,766
0.31,0.9445129469790382,0.2155924570785252,0.3510540788267644,2435,2787,45,766
0.32,0.9408138101109741,0.21744086634368767,0.35324074074074074,2476,2746,48,763
0.33,0.9395807644882861,0.21991341991341992,0.35640785781103834,2519,2703,49,762
0.34,0.93711467324291,0.22215726395790705,0.3591682419659735,2561,2661,51,760
0.35,0.9334155363748459,0.2244292914319597,0.3618546845124283,2606,2616,54,757
0.36,0.9284833538840938,0.22612612612612612,0.363680270466071,2645,2577,58,753
0.37,0.9260172626387176,0.22805952019435166,0.3659844054580897,2680,2542,60,751
0.38,0.9210850801479655,0.23027127003699138,0.3684340320591862,2725,2497,64,747
0.39,0.9112207151664612,0.23217090794847628,0.3700550826239359,2778,2444,72,739
0.4,0.9025893958076449,0.23356732610082961,0.37110266159695815,2820,2402,79,732
0.41,0.8976572133168927,0.23529411764705882,0.3728553137003841,2856,2366,83,728
0.42,0.8939580764488286,0.23856531753866403,0.37662337662337664,2908,2314,86,725
0.43,0.8840937114673243,0.24012056262558606,0.37766657887806165,2953,2269,94,717
0.44,0.8766954377311961,0.2415902140672783,0.37879595098561536,2990,2232,100,711
0.45,0.8643649815043156,0.24323386537126995,0.37963715136745196,3041,2181,110,701
0.46,0.8557336621454994,0.2435942435942436,0.37923497267759565,3067,2155,117,694
0.47,0.8471023427866831,0.24579606440071555,0.3810316139767055,3114,2108,124,687
0.48,0.8372379778051788,0.2486268766019773,0.383399209486166,3170,2052,132,679
0.49,0.8323057953144266,0.25395033860045146,0.3891611415393485,3239,1983,136,675
0.5,0.8249075215782984,0.2593023255813954,0.3945738720141551,3311,1911,142,669
0.51,0.8101109741060419,0.26491935483870965,0.3992707383773929,3399,1823,154,657
0.52,0.7990135635018496,0.2709030100334448,0.4046206681236341,3478,1744,163,648
0.53,0.7854500616522812,0.2781659388646288,0.4108352144469526,3569,1653,174,637
0.54,0.7694204685573366,0.2826086956521739,0.41338191454123885,3638,1584,187,624
0.55,0.7570900123304563,0.2908574135480815,0.4202600958247775,3725,1497,197,614
0.56,0.7398273736128237,0.2949852507374631,0.421792618629174,3788,1434,211,600
0.57,0.7262638717632552,0.30020387359836903,0.424810674359899,3849,1373,222,589
0.58,0.6954377311960542,0.3047001620745543,0.4237415477084899,3935,1287,247,564
0.59,0.6670776818742293,0.31271676300578033,0.42581660763478946,4033,1189,270,541
0.6,0.625154130702836,0.3139318885448916,0.4179719703215169,4114,1108,304,507
0.61,0.5967940813810111,0.32266666666666666,0.418866291648637,4206,1016,327,484
0.62,0.55980271270037,0.33284457478005863,0.4174712643678161,4312,910,357,454
0.63,0.5228113440197287,0.3475409836065574,0.4175283111767602,4426,796,387,424
0.64,0.4907521578298397,0.36480293308890926,0.4185068349106204,4529,693,413,398
0.65,0.44636251541307026,0.37435367114788004,0.40719910011248595,4617,605,449,362
0.66,0.4192355117139334,0.38159371492704824,0.399529964747356,4671,551,471,340
0.67,0.406905055487053,0.39520958083832336,0.40097205346294046,4717,505,481,330
0.68,0.3884093711467324,0.40803108808290156,0.3979785217940619,4765,457,496,315
0.69,0.3563501849568434,0.4243759177679883,0.3873994638069705,4830,392,522,289
0.7,0.32675709001233044,0.42949756888168555,0.3711484593837535,4870,352,546,265
0.71,0.3008631319358816,0.4412296564195298,0.35777126099706746,4913,309,567,244
0.72,0.2688039457459926,0.436,0.3325705568268497,4940,282,593,218
0.73,0.24167694204685575,0.45057471264367815,0.3146067415730337,4983,239,615,196
0.74,0.22318125770653513,0.461734693877551,0.30091438071487947,5011,211,630,181
0.75,0.18988902589395806,0.4624624624624625,0.2692307692307692,5043,179,657,154
0.76,0.15166461159062886,0.44727272727272727,0.2265193370165746,5070,152,688,123
0.77,0.1381011097410604,0.46473029045643155,0.21292775665399238,5093,129,699,112
0.78,0.12083847102342787,0.48514851485148514,0.1934846989141165,5118,104,713,98
0.79,0.10850801479654747,0.49162011173184356,0.17777777777777778,5131,91,723,88
0.8,0.093711467324291,0.48717948717948717,0.15718717683557393,5142,80,735,76
0.81,0.07274969173859433,0.472,0.12606837606837606,5156,66,752,59
0.82,0.06411837237977805,0.5252525252525253,0.11428571428571428,5175,47,759,52
0.83,0.04808877928483354,0.527027027027027,0.08813559322033898,5187,35,772,39
0.84,0.036991368680641186,0.5172413793103449,0.06904487917146145,5194,28,781,30
0.85,0.029593094944512947,0.5714285714285714,0.05627198124267292,5204,18,787,24
0.86,0.02342786683107275,0.6129032258064516,0.04513064133016627,5210,12,792,19
0.87,0.014796547472256474,0.631578947368421,0.02891566265060241,5215,7,799,12
0.88,0.009864364981504316,0.6153846153846154,0.019417475728155338,5217,5,803,8
0.89,0.004932182490752158,0.5714285714285714,0.009779951100244499,5219,3,807,4
0.9,0.002466091245376079,0.4,0.004901960784313725,5219,3,809,2
