threshold,recall,precision,f1,auc,tn,fp,fn,tp
0.1,0.9940476190476191,0.37160658655985757,0.5409782960803369,0.8596239046962686,1529,2824,10,1670
0.11,0.9916666666666667,0.3766674203029618,0.5459610027855153,0.8596239046962686,1596,2757,14,1666
0.12,0.9910714285714286,0.3798767967145791,0.5492330529440871,0.8596239046962686,1635,2718,15,1665
0.13,0.9910714285714286,0.38532747049294147,0.5549075154140977,0.8596239046962686,1697,2656,15,1665
0.14,0.9875,0.3885245901639344,0.5576470588235294,0.8596239046962686,1742,2611,21,1659
0.15,0.9863095238095239,0.39293336495138725,0.5619806681363405,0.8596239046962686,1793,2560,23,1657
0.16,0.9851190476190477,0.39754984386259906,0.5664898168748931,0.8596239046962686,1845,2508,25,1655
0.17,0.9833333333333333,0.4021421616358325,0.5708362128541811,0.8596239046962686,1897,2456,28,1652
0.18,0.9809523809523809,0.4069135802469136,0.5752181500872601,0.8596239046962686,1951,2402,32,1648
0.19,0.9797619047619047,0.4101669573884874,0.5782539961356051,0.8596239046962686,1986,2367,34,1646
0.2,0.9767857142857143,0.41283018867924526,0.5803713527851458,0.8596239046962686,2019,2334,39,1641
0.21,0.975,0.41637010676156583,0.5835411471321695,0.8596239046962686,2057,2296,42,1638
0.22,0.9732142857142857,0.4210661859387072,0.5878123314758223,0.8596239046962686,2105,2248,45,1635
0.23,0.9732142857142857,0.42578125,0.592391304347826,0.8596239046962686,2148,2205,45,1635
0.24,0.9720238095238095,0.42962378321494343,0.595876664842182,0.8596239046962686,2185,2168,47,1633
0.25,0.9678571428571429,0.433715657508669,0.5990053416835514,0.8596239046962686,2230,2123,54,1626
0.26,0.9648809523809524,0.43751686909581644,0.6020427112349118,0.8596239046962686,2269,2084,59,1621
0.27,0.9613095238095238,0.44173960612691465,0.6053223388305847,0.8596239046962686,2312,2041,65,1615
0.28,0.9571428571428572,0.44383107921611925,0.6064491797095983,0.8596239046962686,2338,2015,72,1608
0.29,0.9553571428571429,0.44707520891364905,0.6091081593927894,0.8596239046962686,2368,1985,75,1605
0.3,0.9511904761904761,0.44976076555023925,0.6107395375501624,0.8596239046962686,2398,1955,82,1598
0.31,0.9488095238095238,0.4549086757990868,0.6149691358024691,0.8596239046962686,2443,1910,86,1594
0.32,0.944047619047619,0.4598434328790954,0.6184441411581205,0.8596239046962686,2490,1863,94,1586
0.33,0.9422619047619047,0.4631363370392042,0.6210278540604158,0.8596239046962686,2518,1835,97,1583
0.34,0.9386904761904762,0.4653290056063736,0.6222134543302427,0.8596239046962686,2541,1812,103,1577
0.35,0.9357142857142857,0.4705178090392098,0.6261700856403107,0.8596239046962686,2584,1769,108,1572
0.36,0.9321428571428572,0.47714808043875684,0.6311970979443773,0.8596239046962686,2637,1716,114,1566
0.37,0.9273809523809524,0.4808641975308642,0.6333333333333333,0.8596239046962686,2671,1682,122,1558
0.38,0.9220238095238096,0.48376014990630856,0.6345759934453093,0.8596239046962686,2700,1653,131,1549
