threshold,recall,precision,f1,auc,fn,fp,tn,tp
0.1,0.9916666666666667,0.37046920169001557,0.5394204306297555,0.8597464939341232,14,2831,1522,1666
0.11,0.9916666666666667,0.3776065276518586,0.5469468154957321,0.8597464939341232,14,2746,1607,1666
0.12,0.9910714285714286,0.38328729281767954,0.5527888446215139,0.8597464939341232,15,2679,1674,1665
0.13,0.9892857142857143,0.3887719298245614,0.5581863979848867,0.8597464939341232,18,2613,1740,1662
0.14,0.9880952380952381,0.39401851412295275,0.5633802816901409,0.8597464939341232,20,2553,1800,1660
0.15,0.9857142857142858,0.39817263765328204,0.5672204144545299,0.8597464939341232,24,2503,1850,1656
0.16,0.9827380952380952,0.4023884962222764,0.5709839183814629,0.8597464939341232,29,2452,1901,1651
0.17,0.9809523809523809,0.4069135802469136,0.5752181500872601,0.8597464939341232,32,2402,1951,1648
0.18,0.9803571428571428,0.4111333000499251,0.5793176222300387,0.8597464939341232,33,2359,1994,1647
0.19,0.9791666666666666,0.4154040404040404,0.5833333333333334,0.8597464939341232,35,2315,2038,1645
0.2,0.9785714285714285,0.4216465760451398,0.5893529306327299,0.8597464939341232,36,2255,2098,1644
0.21,0.9761904761904762,0.4239917269906929,0.5912040374909877,0.8597464939341232,40,2228,2125,1640
0.22,0.9738095238095238,0.4289459884635553,0.5955587914088096,0.8597464939341232,44,2178,2175,1636
0.23,0.9696428571428571,0.43118051879301217,0.5969219494320264,0.8597464939341232,51,2149,2204,1629
0.24,0.9660714285714286,0.4344218415417559,0.5993353028064993,0.8597464939341232,57,2113,2240,1623
0.25,0.9642857142857143,0.43807463493780424,0.6024544440312384,0.8597464939341232,60,2078,2275,1620
0.26,0.9630952380952381,0.44147339699863575,0.6054256314312442,0.8597464939341232,62,2047,2306,1618
0.27,0.9607142857142857,0.4441386901485966,0.6074520135491156,0.8597464939341232,66,2020,2333,1614
0.28,0.9553571428571429,0.44657762938230383,0.608646188850967,0.8597464939341232,75,1989,2364,1605
0.29,0.9529761904761904,0.44997189432265317,0.6113020236731577,0.8597464939341232,79,1957,2396,1601
0.3,0.9488095238095238,0.45361411496869664,0.613785136696188,0.8597464939341232,86,1920,2433,1594
0.31,0.9470238095238095,0.45771001150747986,0.6171450737005431,0.8597464939341232,89,1885,2468,1591
0.32,0.9446428571428571,0.4618742724097788,0.6204065676309617,0.8597464939341232,93,1849,2504,1587
0.33,0.9404761904761905,0.4647058823529412,0.6220472440944882,0.8597464939341232,100,1820,2533,1580
