threshold,recall,precision,f1,auc,fn,fp,tn,tp
0.1,0.9938347718865598,0.16570723684210525,0.28405286343612335,0.809698345376504,5,4058,1164,806
0.11,0.9926017262638718,0.1683748169838946,0.28791130185979974,0.809698345376504,6,3976,1246,805
0.12,0.9926017262638718,0.17120374308804764,0.29203700344639943,0.809698345376504,6,3897,1325,805
0.13,0.9913686806411838,0.17331321405475317,0.295045871559633,0.809698345376504,7,3835,1387,804
0.14,0.9913686806411838,0.17596848325673015,0.2988847583643123,0.809698345376504,7,3765,1457,804
0.15,0.9889025893958077,0.17822222222222223,0.3020146864997176,0.809698345376504,9,3698,1524,802
0.16,0.9876695437731196,0.18028359216745443,0.3049105443471641,0.809698345376504,10,3642,1580,801
0.17,0.9839704069050554,0.182566918325326,0.30798919336163644,0.809698345376504,13,3573,1649,798
0.18,0.9827373612823674,0.1851335656213705,0.31157154026583267,0.809698345376504,14,3508,1714,797
0.19,0.9802712700369913,0.18692687514695508,0.31398104265402843,0.809698345376504,16,3458,1764,795
0.2,0.9802712700369913,0.18951132300357568,0.31761885737115464,0.809698345376504,16,3400,1822,795
0.21,0.9790382244143033,0.192112267118316,0.32119741100323623,0.809698345376504,17,3339,1883,794
0.22,0.9765721331689272,0.1943558282208589,0.32419156774457636,0.809698345376504,19,3283,1939,792
0.23,0.9765721331689272,0.19681908548707752,0.3276111685625646,0.809698345376504,19,3232,1990,792
0.24,0.9765721331689272,0.19989904088844018,0.33186675047140163,0.809698345376504,19,3170,2052,792
0.25,0.9704069050554871,0.20273055126223596,0.3353931387172384,0.809698345376504,24,3095,2127,787
0.26,0.967940813810111,0.2048004174276024,0.3380706287683032,0.809698345376504,26,3048,2174,785
0.27,0.9642416769420469,0.20726212562947258,0.3411867364746946,0.809698345376504,29,2991,2231,782
0.28,0.9605425400739828,0.20974690360796985,0.34430939226519336,0.809698345376504,32,2935,2287,779
0.29,0.9580764488286067,0.21171662125340598,0.34679758982370007,0.809698345376504,34,2893,2329,777
0.3,0.9543773119605425,0.21375310687655344,0.3492779783393502,0.809698345376504,37,2847,2375,774
0.31,0.9506781750924784,0.21596638655462186,0.3519744350604885,0.809698345376504,40,2799,2423,771
0.32,0.9506781750924784,0.217673630717109,0.3542384562370779,0.809698345376504,40,2771,2451,771
0.33,0.9482120838471023,0.21990277380611953,0.35701021355617457,0.809698345376504,42,2728,2494,769
0.34,0.9408138101109741,0.2210953346855984,0.3580478648521821,0.809698345376504,48,2688,2534,763
0.35,0.9346485819975339,0.22241784037558684,0.3593268547049064,0.809698345376504,53,2650,2572,758
0.36,0.9284833538840938,0.22430741733690795,0.3613243761996161,0.809698345376504,58,2604,2618,753
0.37,0.9260172626387176,0.226819691935971,0.36438622028141676,0.809698345376504,60,2560,2662,751
0.38,0.9198520345252774,0.2291154791154791,0.3668551758052619,0.809698345376504,65,2510,2712,746
0.39,0.9161528976572133,0.23117610454262602,0.3691925465838509,0.809698345376504,68,2471,2751,743
0.4,0.9075215782983971,0.23232323232323232,0.3699421965317919,0.809698345376504,75,2432,2790,736
0.41,0.8951911220715166,0.23299101412066753,0.3697478991596639,0.809698345376504,85,2390,2832,726
0.42,0.8902589395807645,0.2363338788870704,0.3735126745990688,0.809698345376504,89,2333,2889,722
0.43,0.8877928483353884,0.23888520238885202,0.3764705882352941,0.809698345376504,91,2294,2928,720
0.44,0.8803945745992602,0.24097198785015186,0.3783783783783784,0.809698345376504,97,2249,2973,714
0.45,0.8717632552404438,0.2436250861474845,0.3808241314301104,0.809698345376504,104,2195,3027,707
0.46,0.8643649815043156,0.24631061138439916,0.3833743505605688,0.809698345376504,110,2145,3077,701
0.47,0.8594327990135635,0.25171542072950526,0.3893854748603352,0.809698345376504,114,2072,3150,697
0.48,0.8508014796547472,0.25489471739933506,0.3922683342808414,0.809698345376504,121,2017,3205,690
0.49,0.8384710234278668,0.2568945976577257,0.3932909196067091,0.809698345376504,131,1967,3255,680
0.5,0.8298397040690506,0.2622759158222915,0.3985786200769914,0.809698345376504,138,1893,3329,673
0.51,0.813810110974106,0.2644230769230769,0.3991533111581494,0.809698345376504,151,1836,3386,660
