threshold,recall,precision,f1,auc,fn,fp,tn,tp
0.1,0.9878048780487805,0.32149571756841444,0.4851063829787234,0.8028878880673546,19,3248,1227,1539
0.11,0.9858793324775353,0.3256306974772101,0.4895617529880478,0.8028878880673546,22,3181,1294,1536
0.12,0.9839537869062901,0.33003229278794405,0.49427696275995486,0.8028878880673546,25,3112,1363,1533
0.13,0.9839537869062901,0.33376877857609405,0.4984555356852544,0.8028878880673546,25,3060,1415,1533
0.14,0.9801026957637997,0.33708609271523177,0.5016425755584757,0.8028878880673546,31,3003,1472,1527
0.15,0.9794608472400513,0.3404730031236055,0.5052980132450331,0.8028878880673546,32,2956,1519,1526
0.16,0.9781771501925546,0.34293429342934295,0.5078307230923026,0.8028878880673546,34,2920,1555,1524
0.17,0.9762516046213093,0.34536784741144416,0.5102314659510232,0.8028878880673546,37,2883,1592,1521
0.18,0.9762516046213093,0.34797529169526425,0.5130713442401754,0.8028878880673546,37,2850,1625,1521
0.19,0.9749679075738126,0.3512950971322849,0.5164909894593676,0.8028878880673546,39,2805,1670,1519
0.2,0.9743260590500642,0.3537636914472151,0.5190630877073004,0.8028878880673546,40,2773,1702,1518
0.21,0.9736842105263158,0.3562705495537811,0.5216643741403026,0.8028878880673546,41,2741,1734,1517
0.22,0.9704749679075738,0.3582938388625592,0.5233644859813084,0.8028878880673546,46,2708,1767,1512
0.23,0.9672657252888318,0.3605263157894737,0.5252701289647961,0.8028878880673546,51,2673,1802,1507
0.24,0.9640564826700898,0.36227689339122043,0.5266479663394109,0.8028878880673546,56,2644,1831,1502
0.25,0.9614890885750963,0.36474312149987825,0.5288614298323037,0.8028878880673546,60,2609,1866,1498
0.26,0.9608472400513479,0.3665523996082272,0.5306628855015951,0.8028878880673546,61,2587,1888,1497
0.27,0.9569961489088575,0.36860321384425215,0.5322148848830983,0.8028878880673546,67,2554,1921,1491
0.28,0.9563543003851092,0.3708312593330015,0.5344332855093257,0.8028878880673546,68,2528,1947,1490
0.29,0.9518613607188704,0.3725194674704848,0.5354757176385629,0.8028878880673546,75,2498,1977,1483
0.3,0.9492939666238768,0.3747149733975171,0.5373297002724796,0.8028878880673546,79,2468,2007,1479
0.31,0.9460847240051348,0.3777549974372117,0.5399267399267399,0.8028878880673546,84,2428,2047,1474
0.32,0.9435173299101413,0.38082901554404147,0.5426356589147286,0.8028878880673546,88,2390,2085,1470
0.33,0.9390243902439024,0.3831849135673127,0.5442708333333334,0.8028878880673546,95,2355,2120,1463
0.34,0.9364569961489089,0.3870026525198939,0.5476726726726727,0.8028878880673546,99,2311,2164,1459
0.35,0.9319640564826701,0.3889633002946692,0.5488565488565489,0.8028878880673546,106,2281,2194,1452
0.36,0.9300385109114249,0.3931090613130765,0.5526315789473685,0.8028878880673546,109,2237,2238,1449
0.37,0.923620025673941,0.39511257550796264,0.5534615384615384,0.8028878880673546,119,2203,2272,1439
0.38,0.9184852374839538,0.39827442248817146,0.5556202679091439,0.8028878880673546,127,2162,2313,1431
0.39,0.9133504492939666,0.4008450704225352,0.5571652310101801,0.8028878880673546,135,2127,2348,1423
0.4,0.9069319640564827,0.4030233884768967,0.5580568720379147,0.8028878880673546,145,2093,2382,1413
0.41,0.9005134788189987,0.40584321666184553,0.5595214356929212,0.8028878880673546,155,2054,2421,1403
0.42,0.8966623876765083,0.40931731614415473,0.5620599476966405,0.8028878880673546,161,2016,2459,1397
0.43,0.889602053915276,0.41164241164241167,0.5628426395939087,0.8028878880673546,172,1981,2494,1386
0.44,0.883183568677792,0.41646489104116224,0.5660222130810366,0.8028878880673546,182,1928,2547,1376
0.45,0.8748395378690629,0.4186117936117936,0.5662650602409639,0.8028878880673546,195,1893,2582,1363
0.46,0.8671373555840821,0.4221875,0.567885666246322,0.8028878880673546,207,1849,2626,1351
0.47,0.8594351732991015,0.4241368387709851,0.5679745493107105,0.8028878880673546,219,1818,2657,1339
0.48,0.8555840821566111,0.4272435897435897,0.5699016673792219,0.8028878880673546,225,1787,2688,1333
0.49,0.8414634146341463,0.4281515349444807,0.5675324675324676,0.8028878880673546,247,1751,2724,1311
0.5,0.8331193838254172,0.43137254901960786,0.5684256623604117,0.8028878880673546,260,1711,2764,1298
0.51,0.8254172015404364,0.4356368563685637,0.5702882483370288,0.8028878880673546,272,1666,2809,1286
0.52,0.8145057766367138,0.4397089397089397,0.5711071107110711,0.8028878880673546,289,1617,2858,1269
0.53,0.7991014120667522,0.4430604982206406,0.570054945054945,0.8028878880673546,313,1565,2910,1245
0.54,0.785622593068036,0.44687842278203727,0.5696997905515476,0.8028878880673546,334,1515,2960,1224
0.55,0.7721437740693197,0.45022455089820357,0.5687943262411348,0.8028878880673546,355,1469,3006,1203
0.56,0.7586649550706034,0.4568998840355624,0.5703256936067551,0.8028878880673546,376,1405,3070,1182
0.57,0.7464698331193839,0.4653861544617847,0.573330046832635,0.8028878880673546,395,1336,3139,1163
0.58,0.7317073170731707,0.472636815920398,0.5743073047858942,0.8028878880673546,418,1272,3203,1140
0.59,0.7073170731707317,0.47850629613547546,0.5708365708365708,0.8028878880673546,456,1201,3274,1102
0.6,0.689987163029525,0.4844524560612889,0.5692348424675668,0.8028878880673546,483,1144,3331,1075
0.61,0.6604621309370988,0.4956647398843931,0.5663181067694001,0.8028878880673546,529,1047,3428,1029
0.62,0.6296534017971759,0.5059308922124807,0.5610523305690592,0.8028878880673546,577,958,3517,981
0.63,0.6091142490372272,0.5177304964539007,0.5597168976703037,0.8028878880673546,609,884,3591,949
0.64,0.5680359435173299,0.5274135876042908,0.5469715698393078,0.8028878880673546,673,793,3682,885
0.65,0.5288831835686778,0.5424621461487821,0.5355866103347416,0.8028878880673546,734,695,3780,824
0.66,0.4942233632862644,0.5460992907801419,0.5188679245283019,0.8028878880673546,788,640,3835,770
0.67,0.46277278562259305,0.5584817970565453,0.5061425061425061,0.8028878880673546,837,570,3905,721
0.68,0.4313222079589217,0.5704584040747029,0.49122807017543857,0.8028878880673546,886,506,3969,672
0.69,0.3940949935815148,0.5776105362182502,0.4685234643265929,0.8028878880673546,944,449,4026,614
0.7,0.35879332477535303,0.590285110876452,0.44630738522954094,0.8028878880673546,999,388,4087,559
0.71,0.32349165596919127,0.6072289156626506,0.4221105527638191,0.8028878880673546,1054,326,4149,504
0.72,0.28562259306803595,0.6189151599443672,0.3908651734738691,0.8028878880673546,1113,274,4201,445
0.73,0.2593068035943517,0.6292834890965732,0.36727272727272725,0.8028878880673546,1154,238,4237,404
0.74,0.22978177150192555,0.6427289048473968,0.33853427895981086,0.8028878880673546,1200,199,4276,358
0.75,0.20218228498074453,0.6535269709543569,0.3088235294117647,0.8028878880673546,1243,167,4308,315
0.76,0.17265725288831835,0.6658415841584159,0.2742099898063201,0.8028878880673546,1289,135,4340,269
0.77,0.14762516046213095,0.6647398843930635,0.2415966386554622,0.8028878880673546,1328,116,4359,230
0.78,0.12195121951219512,0.6529209621993127,0.2055164954029205,0.8028878880673546,1368,101,4374,190
0.79,0.0975609756097561,0.6523605150214592,0.16973757677275264,0.8028878880673546,1406,81,4394,152
0.8,0.08536585365853659,0.6683417085427136,0.15139442231075698,0.8028878880673546,1425,66,4409,133
0.81,0.07124518613607189,0.6851851851851852,0.12906976744186047,0.8028878880673546,1447,51,4424,111
0.82,0.06290115532734275,0.7153284671532847,0.11563421828908554,0.8028878880673546,1460,39,4436,98
0.83,0.050706033376123234,0.7247706422018348,0.09478104379124175,0.8028878880673546,1479,30,4445,79
0.84,0.044929396662387676,0.7446808510638298,0.0847457627118644,0.8028878880673546,1488,24,4451,70
0.85,0.03530166880616174,0.7236842105263158,0.06731946144430845,0.8028878880673546,1503,21,4454,55
0.86,0.02631578947368421,0.6833333333333333,0.05067985166872682,0.8028878880673546,1517,19,4456,41
0.87,0.021181001283697046,0.7333333333333333,0.041172800998128506,0.8028878880673546,1525,12,4463,33
0.88,0.016046213093709884,0.7575757575757576,0.03142677561282212,0.8028878880673546,1533,8,4467,25
0.89,0.010911424903722721,0.7727272727272727,0.021518987341772152,0.8028878880673546,1541,5,4470,17
0.9,0.006418485237483954,0.7692307692307693,0.012730744748567792,0.8028878880673546,1548,3,4472,10
