number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.7664369090082225,2026-05-15 00:41:56.604395,2026-05-15 00:41:57.261199,0 days 00:00:00.656804,0.15601864044243652,45,9,500,0.24810409748678114,0.17254716573280354,0.004207053950287938,COMPLETE
1,0.7726181936330265,2026-05-15 00:41:57.261567,2026-05-15 00:41:57.837608,0 days 00:00:00.576041,0.9699098521619943,79,8,893,0.0012087541473056963,0.06054365855469249,2.136832907235876,COMPLETE
2,0.7967055580558586,2026-05-15 00:41:57.837859,2026-05-15 00:41:58.457045,0 days 00:00:00.619186,0.43194501864211576,169,6,345,0.12561043700013563,0.017322667470546258,0.014618962793704969,COMPLETE
3,0.7977178266472917,2026-05-15 00:41:58.457265,2026-05-15 00:41:59.002374,0 days 00:00:00.545109,0.7851759613930136,147,6,311,0.06672367170464209,0.023993242906812717,0.006290644294586149,COMPLETE
4,0.7828739360790282,2026-05-15 00:41:59.002607,2026-05-15 00:42:00.513303,0 days 00:00:01.510696,0.06505159298527952,248,8,674,0.004809461967501573,0.011492999300221412,6.24513957474307,COMPLETE
5,0.8060838593808515,2026-05-15 00:42:00.513522,2026-05-15 00:42:01.357136,0 days 00:00:00.843614,0.4401524937396013,142,4,847,0.5456725485601478,0.02490643969382439,0.003077180271250686,COMPLETE
6,0.8015112955196193,2026-05-15 00:42:01.357417,2026-05-15 00:42:01.719744,0 days 00:00:00.362327,0.31171107608941095,154,5,227,0.44677528179739073,0.15242391728466365,0.12030178871154672,COMPLETE
7,0.7923149286358907,2026-05-15 00:42:01.719976,2026-05-15 00:42:02.522627,0 days 00:00:00.802651,0.8948273504276488,238,9,348,5.727904470799624,0.18258230439200232,0.24637685958997463,COMPLETE
8,0.8000516877990821,2026-05-15 00:42:02.522851,2026-05-15 00:42:03.277495,0 days 00:00:00.754644,0.388677289689482,217,4,270,0.02001342062287998,0.017987863473362915,0.01217295809836997,COMPLETE
9,0.764554755301128,2026-05-15 00:42:03.277747,2026-05-15 00:42:03.966454,0 days 00:00:00.688707,0.8021969807540397,253,7,485,0.003661819220392431,0.023200867504756816,0.0019870215385428634,COMPLETE
10,0.8074039171276224,2026-05-15 00:42:03.966708,2026-05-15 00:42:04.614487,0 days 00:00:00.647779,0.6400885024675562,105,4,982,3.033713464539809,0.053343533692271954,0.042239176219265706,COMPLETE
11,0.8071999049832327,2026-05-15 00:42:04.614715,2026-05-15 00:42:05.254123,0 days 00:00:00.639408,0.617454472993021,97,4,985,2.7271326003577623,0.05156911709595948,0.052166826535988815,COMPLETE
12,0.8081615247263191,2026-05-15 00:42:05.254343,2026-05-15 00:42:05.851434,0 days 00:00:00.597091,0.6525898752936657,97,4,996,9.821464149160903,0.05896703079158267,0.03551213771944444,COMPLETE
13,0.8040035966585455,2026-05-15 00:42:05.851660,2026-05-15 00:42:06.276054,0 days 00:00:00.424394,0.6913412129037293,108,5,752,9.259024479770856,0.10091557450479287,0.04118307566698297,COMPLETE
