number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.7664369090082225,2026-05-15 01:08:36.699296,2026-05-15 01:08:37.359864,0 days 00:00:00.660568,0.15601864044243652,45,9,500,0.24810409748678114,0.17254716573280354,0.004207053950287938,COMPLETE
1,0.7726181936330265,2026-05-15 01:08:37.360158,2026-05-15 01:08:37.934617,0 days 00:00:00.574459,0.9699098521619943,79,8,893,0.0012087541473056963,0.06054365855469249,2.136832907235876,COMPLETE
2,0.7967055580558586,2026-05-15 01:08:37.935901,2026-05-15 01:08:38.551716,0 days 00:00:00.615815,0.43194501864211576,169,6,345,0.12561043700013563,0.017322667470546258,0.014618962793704969,COMPLETE
3,0.7977178266472917,2026-05-15 01:08:38.551954,2026-05-15 01:08:39.091839,0 days 00:00:00.539885,0.7851759613930136,147,6,311,0.06672367170464209,0.023993242906812717,0.006290644294586149,COMPLETE
4,0.7828739360790282,2026-05-15 01:08:39.092053,2026-05-15 01:08:40.599385,0 days 00:00:01.507332,0.06505159298527952,248,8,674,0.004809461967501573,0.011492999300221412,6.24513957474307,COMPLETE
5,0.8060838593808515,2026-05-15 01:08:40.599602,2026-05-15 01:08:41.435431,0 days 00:00:00.835829,0.4401524937396013,142,4,847,0.5456725485601478,0.02490643969382439,0.003077180271250686,COMPLETE
6,0.8015112955196193,2026-05-15 01:08:41.435676,2026-05-15 01:08:41.792310,0 days 00:00:00.356634,0.31171107608941095,154,5,227,0.44677528179739073,0.15242391728466365,0.12030178871154672,COMPLETE
7,0.7923149286358907,2026-05-15 01:08:41.792539,2026-05-15 01:08:42.583529,0 days 00:00:00.790990,0.8948273504276488,238,9,348,5.727904470799624,0.18258230439200232,0.24637685958997463,COMPLETE
8,0.8000516877990821,2026-05-15 01:08:42.583764,2026-05-15 01:08:43.337236,0 days 00:00:00.753472,0.388677289689482,217,4,270,0.02001342062287998,0.017987863473362915,0.01217295809836997,COMPLETE
9,0.764554755301128,2026-05-15 01:08:43.337477,2026-05-15 01:08:43.982666,0 days 00:00:00.645189,0.8021969807540397,253,7,485,0.003661819220392431,0.023200867504756816,0.0019870215385428634,COMPLETE
10,0.8074039171276224,2026-05-15 01:08:43.982891,2026-05-15 01:08:44.624101,0 days 00:00:00.641210,0.6400885024675562,105,4,982,3.033713464539809,0.053343533692271954,0.042239176219265706,COMPLETE
11,0.8071999049832327,2026-05-15 01:08:44.624324,2026-05-15 01:08:45.267006,0 days 00:00:00.642682,0.617454472993021,97,4,985,2.7271326003577623,0.05156911709595948,0.052166826535988815,COMPLETE
12,0.8081615247263191,2026-05-15 01:08:45.267349,2026-05-15 01:08:45.832591,0 days 00:00:00.565242,0.6525898752936657,97,4,996,9.821464149160903,0.05896703079158267,0.03551213771944444,COMPLETE
13,0.8040035966585455,2026-05-15 01:08:45.832824,2026-05-15 01:08:46.426481,0 days 00:00:00.593657,0.6913412129037293,108,5,752,9.259024479770856,0.10091557450479287,0.04118307566698297,COMPLETE
14,0.8034574391470025,2026-05-15 01:08:46.427270,2026-05-15 01:08:47.170797,0 days 00:00:00.743527,0.5908077985215608,51,5,993,1.4649682502152033,0.07589003839807723,0.45042834710787105,COMPLETE
15,0.7987936129086796,2026-05-15 01:08:47.171148,2026-05-15 01:08:47.879731,0 days 00:00:00.708583,0.5643420077093966,119,6,844,1.707120343469245,0.036941203112995966,0.027099484557163656,COMPLETE
16,0.8086458174440774,2026-05-15 01:08:47.879967,2026-05-15 01:08:48.758138,0 days 00:00:00.878171,0.7169516868415448,80,4,724,8.768149760791598,0.037187613431510724,0.0011137466265017546,COMPLETE
17,0.7961798253712715,2026-05-15 01:08:48.758401,2026-05-15 01:08:51.023620,0 days 00:00:02.265219,0.7533048465596078,69,10,640,9.936922883949954,0.03921492818677457,0.0010446251525877421,COMPLETE
18,0.8078965922888132,2026-05-15 01:08:51.023858,2026-05-15 01:08:51.483107,0 days 00:00:00.459249,0.8773884589317082,34,5,503,0.9124405260910049,0.09869002404266922,0.8088332704222068,COMPLETE
19,0.7812352274192321,2026-05-15 01:08:51.483341,2026-05-15 01:08:52.141483,0 days 00:00:00.658142,0.5074917641393567,178,7,742,0.0282838494795032,0.03443606448194322,0.14467053264901533,COMPLETE
20,0.806996483151761,2026-05-15 01:08:52.141716,2026-05-15 01:08:52.675772,0 days 00:00:00.534056,0.23769698766109754,72,4,774,3.47476641192455,0.0746963582508658,0.0010077121528220072,COMPLETE
21,0.8045534141101788,2026-05-15 01:08:52.676012,2026-05-15 01:08:53.146767,0 days 00:00:00.470755,0.8933330583510521,40,5,497,0.8000643371576887,0.11620563962635314,0.7367922377951359,COMPLETE
22,0.803298644972116,2026-05-15 01:08:53.147000,2026-05-15 01:08:53.709817,0 days 00:00:00.562817,0.9971980231691266,61,5,575,1.2027250468635757,0.09024672293086546,1.7071912652296168,COMPLETE
23,0.8057071216767154,2026-05-15 01:08:53.710050,2026-05-15 01:08:54.403583,0 days 00:00:00.693533,0.721911054502845,34,4,419,4.459452487983759,0.13603482017530313,5.85143440908987,COMPLETE
24,0.8002468452497047,2026-05-15 01:08:54.403812,2026-05-15 01:08:54.954512,0 days 00:00:00.550700,0.8741516408421189,91,6,557,0.24444361636070627,0.06850672440792449,0.955656150118126,COMPLETE
25,0.8067121884505514,2026-05-15 01:08:54.954747,2026-05-15 01:08:55.655418,0 days 00:00:00.700671,0.8328387865516105,124,5,678,6.6700180072521,0.031371647918728235,0.23226944777908481,COMPLETE
26,0.8069254094764586,2026-05-15 01:08:55.655656,2026-05-15 01:08:56.265304,0 days 00:00:00.609648,0.6734375230416061,86,4,424,2.002939817922014,0.04705275543599062,0.013372501428914574,COMPLETE
27,0.8007296031538766,2026-05-15 01:08:56.265544,2026-05-15 01:08:56.661137,0 days 00:00:00.395593,0.5300846903364325,58,5,924,0.9552791813982003,0.09056060481392769,0.07932243651121465,COMPLETE
28,0.8039342939219964,2026-05-15 01:08:56.661377,2026-05-15 01:08:57.292869,0 days 00:00:00.631492,0.9299659947535263,130,6,817,0.3167160890975256,0.061609885289022344,1.9119115756263045,COMPLETE
