number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.7713122395852009,2026-05-15 01:22:31.865910,2026-05-15 01:22:32.468383,0 days 00:00:00.602473,0.15601864044243652,45,9,500,0.24810409748678114,0.17254716573280354,0.004207053950287938,COMPLETE
1,0.7847463801894707,2026-05-15 01:22:32.468663,2026-05-15 01:22:33.059324,0 days 00:00:00.590661,0.9699098521619943,79,8,893,0.0012087541473056963,0.06054365855469249,2.136832907235876,COMPLETE
2,0.7919815549228706,2026-05-15 01:22:33.059601,2026-05-15 01:22:33.997764,0 days 00:00:00.938163,0.43194501864211576,169,6,345,0.12561043700013563,0.017322667470546258,0.014618962793704969,COMPLETE
3,0.7816876671854045,2026-05-15 01:22:33.997987,2026-05-15 01:22:34.682449,0 days 00:00:00.684462,0.7851759613930136,147,6,311,0.06672367170464209,0.023993242906812717,0.006290644294586149,COMPLETE
4,0.7868076821021076,2026-05-15 01:22:34.682676,2026-05-15 01:22:35.780334,0 days 00:00:01.097658,0.06505159298527952,248,8,674,0.004809461967501573,0.011492999300221412,6.24513957474307,COMPLETE
5,0.7976753609053292,2026-05-15 01:22:35.780582,2026-05-15 01:22:36.697890,0 days 00:00:00.917308,0.4401524937396013,142,4,847,0.5456725485601478,0.02490643969382439,0.003077180271250686,COMPLETE
6,0.7928083562223449,2026-05-15 01:22:36.698124,2026-05-15 01:22:37.129595,0 days 00:00:00.431471,0.31171107608941095,154,5,227,0.44677528179739073,0.15242391728466365,0.12030178871154672,COMPLETE
7,0.7849416599135117,2026-05-15 01:22:37.129806,2026-05-15 01:22:37.867450,0 days 00:00:00.737644,0.8948273504276488,238,9,348,5.727904470799624,0.18258230439200232,0.24637685958997463,COMPLETE
8,0.7924764595778859,2026-05-15 01:22:37.867668,2026-05-15 01:22:38.938611,0 days 00:00:01.070943,0.388677289689482,217,4,270,0.02001342062287998,0.017987863473362915,0.01217295809836997,COMPLETE
9,0.7791856770964063,2026-05-15 01:22:38.938839,2026-05-15 01:22:39.645788,0 days 00:00:00.706949,0.8021969807540397,253,7,485,0.003661819220392431,0.023200867504756816,0.0019870215385428634,COMPLETE
10,0.7981975172295093,2026-05-15 01:22:39.646025,2026-05-15 01:22:40.316992,0 days 00:00:00.670967,0.6400885024675562,105,4,982,3.033713464539809,0.053343533692271954,0.042239176219265706,COMPLETE
11,0.8012449709913154,2026-05-15 01:22:40.317242,2026-05-15 01:22:41.120311,0 days 00:00:00.803069,0.617454472993021,97,4,985,2.7271326003577623,0.05156911709595948,0.052166826535988815,COMPLETE
12,0.8010564324696468,2026-05-15 01:22:41.120530,2026-05-15 01:22:41.812789,0 days 00:00:00.692259,0.6525898752936657,97,4,996,9.821464149160903,0.05896703079158267,0.03551213771944444,COMPLETE
13,0.7931503646703624,2026-05-15 01:22:41.813011,2026-05-15 01:22:42.292168,0 days 00:00:00.479157,0.6738930403356713,82,5,752,9.259024479770856,0.10091557450479287,0.04118307566698297,COMPLETE
14,0.8002103398570004,2026-05-15 01:22:42.292403,2026-05-15 01:22:42.959695,0 days 00:00:00.667292,0.5908077985215608,112,5,993,1.467505341945693,0.073834611087771,0.45042834710787105,COMPLETE
15,0.7957432175615492,2026-05-15 01:22:42.959930,2026-05-15 01:22:43.798663,0 days 00:00:00.838733,0.5643420077093966,40,6,844,1.707120343469245,0.03588024307244565,1.0710864892298309,COMPLETE
16,0.8003123901865306,2026-05-15 01:22:43.798881,2026-05-15 01:22:44.618893,0 days 00:00:00.820012,0.7866278717699985,75,4,723,8.756113750841765,0.037187613431510724,0.04531062299067546,COMPLETE
17,0.7871045818661656,2026-05-15 01:22:44.619128,2026-05-15 01:22:45.523808,0 days 00:00:00.904680,0.25495382948954587,119,10,904,1.1072448678802878,0.09688484587049258,0.0010446251525877421,COMPLETE
18,0.8005550017570155,2026-05-15 01:22:45.524033,2026-05-15 01:22:46.100246,0 days 00:00:00.576213,0.7219454805607028,181,5,588,3.5571148147112863,0.0892855075922247,0.1253889155386666,COMPLETE
19,0.7907773180054647,2026-05-15 01:22:46.100495,2026-05-15 01:22:46.770422,0 days 00:00:00.669927,0.5303572448620109,65,7,790,0.023092359279542212,0.03702917556373974,0.020415609520101154,COMPLETE
20,0.8004923946328555,2026-05-15 01:22:46.770650,2026-05-15 01:22:47.488563,0 days 00:00:00.717913,0.9381733701979755,129,4,935,0.633983011589618,0.052285807740141264,0.3411055251887491,COMPLETE
21,0.7985160031841423,2026-05-15 01:22:47.488804,2026-05-15 01:22:47.999144,0 days 00:00:00.510340,0.7203017877558192,182,5,601,3.299118424061494,0.08789277214695261,0.14656063978774456,COMPLETE
22,0.798788376445952,2026-05-15 01:22:47.999366,2026-05-15 01:22:48.459503,0 days 00:00:00.460137,0.7148620994462618,192,5,495,3.41601427672434,0.12637442055421597,0.05578940180084791,COMPLETE
23,0.7979059960843654,2026-05-15 01:22:48.459727,2026-05-15 01:22:49.151073,0 days 00:00:00.691346,0.8687486840904153,95,4,610,4.644785193252201,0.07779837502868608,0.7972373946115633,COMPLETE
24,0.7929915878400183,2026-05-15 01:22:49.151295,2026-05-15 01:22:49.753627,0 days 00:00:00.602332,0.6102357775624093,203,6,667,1.5640574470935176,0.06598713114487716,0.11080683196452552,COMPLETE
25,0.7987856512790357,2026-05-15 01:22:49.753860,2026-05-15 01:22:50.414062,0 days 00:00:00.660202,0.5169174668240123,94,5,810,8.220845139684407,0.12455384108508462,0.023280962240396993,COMPLETE
26,0.7988433100737947,2026-05-15 01:22:50.414826,2026-05-15 01:22:51.303738,0 days 00:00:00.888912,0.7182723260205044,54,4,424,0.2322517486324563,0.043497920877248256,0.0771834941592485,COMPLETE
27,0.7999397594681622,2026-05-15 01:22:51.303965,2026-05-15 01:22:52.606760,0 days 00:00:01.302795,0.4775556321405998,129,5,561,2.477585901235725,0.03038695754944722,0.17566974479092515,COMPLETE
28,0.7864015605166343,2026-05-15 01:22:52.607436,2026-05-15 01:22:53.495145,0 days 00:00:00.887709,0.8349442385145898,163,6,947,1.1253982306974428,0.04826755228452922,0.008265128812516065,COMPLETE
29,0.7995119082622758,2026-05-15 01:22:53.495502,2026-05-15 01:22:53.976313,0 days 00:00:00.480811,0.3731759339108428,222,4,547,0.38419422302651524,0.12183939971120147,0.026474667247264314,COMPLETE
30,0.8010080248994197,2026-05-15 01:22:53.976540,2026-05-15 01:22:54.775569,0 days 00:00:00.799029,0.6619907585286656,56,5,430,5.037119473339043,0.06566667562942503,0.7592146438779552,COMPLETE
31,0.8010207901549758,2026-05-15 01:22:54.775804,2026-05-15 01:22:55.548331,0 days 00:00:00.772527,0.6748206083492881,56,5,404,5.5558445662756215,0.06383194933992122,1.5150791246197186,COMPLETE
32,0.8023570542379932,2026-05-15 01:22:55.548575,2026-05-15 01:22:56.621193,0 days 00:00:01.072618,0.6425164798518852,33,4,449,5.751131159662212,0.0649163439614859,7.043714072308625,COMPLETE
33,0.8012616088524895,2026-05-15 01:22:56.621416,2026-05-15 01:22:57.727325,0 days 00:00:01.105909,0.589563526222319,34,4,419,9.790260143591912,0.058212443235341915,8.363749545666742,COMPLETE
34,0.8017143451352186,2026-05-15 01:22:57.727558,2026-05-15 01:22:58.988053,0 days 00:00:01.260495,0.5637020339039145,39,4,364,8.841455976370796,0.04446635260987681,5.930212982760042,COMPLETE
35,0.8020976613764963,2026-05-15 01:22:58.988280,2026-05-15 01:23:00.381947,0 days 00:00:01.393667,0.488149530032992,42,4,365,2.287461665842602,0.04138748242743087,8.94546639435703,COMPLETE
