number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.8428066166737773,2026-05-15 00:00:55.272782,2026-05-15 00:00:57.101849,0 days 00:00:01.829067,0.15601864044243652,45,9,500,0.24810409748678114,0.17254716573280354,0.004207053950287938,COMPLETE
1,0.8455229972760985,2026-05-15 00:00:57.102155,2026-05-15 00:00:58.733552,0 days 00:00:01.631397,0.9699098521619943,79,8,893,0.0012087541473056963,0.06054365855469249,2.136832907235876,COMPLETE
2,0.8568554937481541,2026-05-15 00:00:58.733818,2026-05-15 00:01:00.477621,0 days 00:00:01.743803,0.43194501864211576,169,6,345,0.12561043700013563,0.017322667470546258,0.014618962793704969,COMPLETE
3,0.8545625348692201,2026-05-15 00:01:00.477853,2026-05-15 00:01:01.764142,0 days 00:00:01.286289,0.7851759613930136,147,6,311,0.06672367170464209,0.023993242906812717,0.006290644294586149,COMPLETE
4,0.8259562370778772,2026-05-15 00:01:01.764399,2026-05-15 00:01:05.749242,0 days 00:00:03.984843,0.06505159298527952,248,8,674,0.004809461967501573,0.011492999300221412,6.24513957474307,COMPLETE
5,0.8577471885836807,2026-05-15 00:01:05.749457,2026-05-15 00:01:07.072366,0 days 00:00:01.322909,0.4401524937396013,142,4,847,0.5456725485601478,0.02490643969382439,0.003077180271250686,COMPLETE
6,0.856176979751239,2026-05-15 00:01:07.072609,2026-05-15 00:01:07.584308,0 days 00:00:00.511699,0.31171107608941095,154,5,227,0.44677528179739073,0.15242391728466365,0.12030178871154672,COMPLETE
7,0.851310604071631,2026-05-15 00:01:07.584546,2026-05-15 00:01:09.474998,0 days 00:00:01.890452,0.8948273504276488,238,9,348,5.727904470799624,0.18258230439200232,0.24637685958997463,COMPLETE
8,0.8573530296566134,2026-05-15 00:01:09.475251,2026-05-15 00:01:10.852797,0 days 00:00:01.377546,0.388677289689482,217,4,270,0.02001342062287998,0.017987863473362915,0.01217295809836997,COMPLETE
9,0.8545321097655696,2026-05-15 00:01:10.853051,2026-05-15 00:01:12.367462,0 days 00:00:01.514411,0.8021969807540397,253,7,485,0.003661819220392431,0.023200867504756816,0.0019870215385428634,COMPLETE
10,0.8582578517278725,2026-05-15 00:01:12.367678,2026-05-15 00:01:13.609029,0 days 00:00:01.241351,0.6400885024675562,105,4,982,3.033713464539809,0.053343533692271954,0.042239176219265706,COMPLETE
11,0.8580499354577578,2026-05-15 00:01:13.609262,2026-05-15 00:01:14.970348,0 days 00:00:01.361086,0.617454472993021,97,4,985,2.7271326003577623,0.05156911709595948,0.052166826535988815,COMPLETE
12,0.8584054647588418,2026-05-15 00:01:14.970586,2026-05-15 00:01:16.330607,0 days 00:00:01.360021,0.6525898752936657,97,4,996,9.821464149160903,0.05896703079158267,0.03551213771944444,COMPLETE
13,0.8586738210101409,2026-05-15 00:01:16.330847,2026-05-15 00:01:17.379633,0 days 00:00:01.048786,0.6913412129037293,108,5,752,9.259024479770856,0.10091557450479287,0.04118307566698297,COMPLETE
14,0.8581938564536773,2026-05-15 00:01:17.379864,2026-05-15 00:01:18.200721,0 days 00:00:00.820857,0.6191678774040925,48,5,721,7.828217083317992,0.08365482002756194,0.45042834710787105,COMPLETE
15,0.8569313855797316,2026-05-15 00:01:18.200958,2026-05-15 00:01:18.810036,0 days 00:00:00.609078,0.7229164447094745,107,5,780,1.3447619531930777,0.09692855551127141,0.029037920357531246,COMPLETE
16,0.858089043680877,2026-05-15 00:01:18.810259,2026-05-15 00:01:19.563975,0 days 00:00:00.753716,0.5795660494660647,75,6,588,9.348505751407345,0.10550784926423894,0.0011001451084548248,COMPLETE
17,0.8552585518471114,2026-05-15 00:01:19.564222,2026-05-15 00:01:25.472313,0 days 00:00:05.908091,0.2837631969307522,125,10,884,1.1072448678802878,0.03799505712000589,0.693927500111096,COMPLETE
18,0.8587516272302628,2026-05-15 00:01:25.472624,2026-05-15 00:01:26.572831,0 days 00:00:01.100207,0.5085872452193139,181,5,626,2.083309604315427,0.036860207547165576,0.1423307189813123,COMPLETE
19,0.857224697253126,2026-05-15 00:01:26.573072,2026-05-15 00:01:27.949729,0 days 00:00:01.376657,0.5074917641393567,184,7,614,2.098548938564044,0.0369417370601914,0.14467053264901533,COMPLETE
20,0.8557506864450352,2026-05-15 00:01:27.949955,2026-05-15 00:01:28.615847,0 days 00:00:00.665892,0.23769698766109754,198,5,466,0.05276286464062172,0.1255228886727383,1.025935840264162,COMPLETE
21,0.8581436037543896,2026-05-15 00:01:28.616081,2026-05-15 00:01:29.345476,0 days 00:00:00.729395,0.6978801971655599,128,5,777,4.404353316727846,0.07185424803615684,0.06307017251441789,COMPLETE
22,0.8568665698533031,2026-05-15 00:01:29.345719,2026-05-15 00:01:30.460843,0 days 00:00:01.115124,0.5503650164075868,78,6,611,9.165427158560574,0.03721883999619354,0.013722737232593683,COMPLETE
23,0.8581660978197849,2026-05-15 00:01:30.461089,2026-05-15 00:01:31.202322,0 days 00:00:00.741233,0.8385870667059157,169,4,715,1.0038433286174282,0.07164356641010684,0.21455015859826418,COMPLETE
24,0.8587037675166552,2026-05-15 00:01:31.202547,2026-05-15 00:01:32.235563,0 days 00:00:01.033016,0.6894155341155378,121,5,552,3.2217839394426764,0.04254576171666571,0.029623050327522472,COMPLETE
25,0.8552335280539967,2026-05-15 00:01:32.235793,2026-05-15 00:01:33.577800,0 days 00:00:01.342007,0.49415018777764175,126,7,526,0.4316771866635475,0.031371647918728235,0.09046669788462902,COMPLETE
26,0.8577834252239834,2026-05-15 00:01:33.578017,2026-05-15 00:01:34.772290,0 days 00:00:01.194273,0.7517986620127628,199,6,424,1.9509941838116367,0.04726433951277944,0.02162442088392817,COMPLETE
27,0.8590999092032863,2026-05-15 00:01:34.772526,2026-05-15 00:01:36.200752,0 days 00:00:01.428226,0.8872857653752572,173,5,547,3.990209274460222,0.03125893646692316,0.30450600421322793,COMPLETE
28,0.8585408393773315,2026-05-15 00:01:36.200999,2026-05-15 00:01:37.597493,0 days 00:00:01.396494,0.9922934123090207,217,5,559,0.6323436891328709,0.03000914582380577,0.350359087297738,COMPLETE
29,0.856472274184197,2026-05-15 00:01:37.597795,2026-05-15 00:01:40.726178,0 days 00:00:03.128383,0.8703750092103402,167,7,416,0.17502279255050607,0.016141408679759224,1.5816617823631811,COMPLETE
