number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.7701153849241638,2026-05-15 02:15:01.553944,2026-05-15 02:15:02.019853,0 days 00:00:00.465909,0.15601864044243652,45,9,500,0.24810409748678114,0.17254716573280354,0.004207053950287938,COMPLETE
1,0.7761076513526902,2026-05-15 02:15:02.020094,2026-05-15 02:15:02.586559,0 days 00:00:00.566465,0.9699098521619943,79,8,893,0.0012087541473056963,0.06054365855469249,2.136832907235876,COMPLETE
2,0.7968521917846386,2026-05-15 02:15:02.586803,2026-05-15 02:15:03.280654,0 days 00:00:00.693851,0.43194501864211576,169,6,345,0.12561043700013563,0.017322667470546258,0.014618962793704969,COMPLETE
3,0.7973946893560915,2026-05-15 02:15:03.280888,2026-05-15 02:15:03.901483,0 days 00:00:00.620595,0.7851759613930136,147,6,311,0.06672367170464209,0.023993242906812717,0.006290644294586149,COMPLETE
4,0.769126020473941,2026-05-15 02:15:03.901714,2026-05-15 02:15:05.020456,0 days 00:00:01.118742,0.06505159298527952,248,8,674,0.004809461967501573,0.011492999300221412,6.24513957474307,COMPLETE
5,0.8036194210116453,2026-05-15 02:15:05.020698,2026-05-15 02:15:05.755996,0 days 00:00:00.735298,0.4401524937396013,142,4,847,0.5456725485601478,0.02490643969382439,0.003077180271250686,COMPLETE
6,0.8022033783844412,2026-05-15 02:15:05.756247,2026-05-15 02:15:06.107783,0 days 00:00:00.351536,0.31171107608941095,154,5,227,0.44677528179739073,0.15242391728466365,0.12030178871154672,COMPLETE
7,0.7971827670186034,2026-05-15 02:15:06.108022,2026-05-15 02:15:06.832216,0 days 00:00:00.724194,0.8948273504276488,238,9,348,5.727904470799624,0.18258230439200232,0.24637685958997463,COMPLETE
8,0.8062263609192069,2026-05-15 02:15:06.832454,2026-05-15 02:15:07.857263,0 days 00:00:01.024809,0.388677289689482,217,4,270,0.02001342062287998,0.017987863473362915,0.01217295809836997,COMPLETE
9,0.76818116561772,2026-05-15 02:15:07.857502,2026-05-15 02:15:08.529286,0 days 00:00:00.671784,0.8021969807540397,253,7,485,0.003661819220392431,0.023200867504756816,0.0019870215385428634,COMPLETE
10,0.8078850221556244,2026-05-15 02:15:08.529518,2026-05-15 02:15:09.057467,0 days 00:00:00.527949,0.6400885024675562,195,4,611,0.024400771927662247,0.05298668130616353,0.03320258070519291,COMPLETE
11,0.8059871661249167,2026-05-15 02:15:09.057697,2026-05-15 02:15:09.572141,0 days 00:00:00.514444,0.617454472993021,194,4,699,0.025926173236423863,0.055245878781596404,0.035382156320986916,COMPLETE
12,0.8052580116088577,2026-05-15 02:15:09.572387,2026-05-15 02:15:10.101154,0 days 00:00:00.528767,0.6198942765704727,204,4,578,0.01680081571348859,0.0817954206409594,0.03551213771944444,COMPLETE
13,0.7992756624373502,2026-05-15 02:15:10.101399,2026-05-15 02:15:10.692322,0 days 00:00:00.590923,0.268796627246008,191,5,762,0.024577274607965247,0.03932312276765038,0.03353807924728599,COMPLETE
