number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.7791737007049577,2026-05-15 02:23:33.737855,2026-05-15 02:23:34.195612,0 days 00:00:00.457757,0.15601864044243652,45,9,500,0.24810409748678114,0.17254716573280354,0.004207053950287938,COMPLETE
1,0.7756390157844537,2026-05-15 02:23:34.195833,2026-05-15 02:23:34.719831,0 days 00:00:00.523998,0.9699098521619943,79,8,893,0.0012087541473056963,0.06054365855469249,2.136832907235876,COMPLETE
2,0.7940326733170301,2026-05-15 02:23:34.720053,2026-05-15 02:23:35.543184,0 days 00:00:00.823131,0.43194501864211576,169,6,345,0.12561043700013563,0.017322667470546258,0.014618962793704969,COMPLETE
3,0.7891285920209982,2026-05-15 02:23:35.543412,2026-05-15 02:23:36.272301,0 days 00:00:00.728889,0.7851759613930136,147,6,311,0.06672367170464209,0.023993242906812717,0.006290644294586149,COMPLETE
4,0.7795593118236387,2026-05-15 02:23:36.272521,2026-05-15 02:23:38.839083,0 days 00:00:02.566562,0.06505159298527952,248,8,674,0.004809461967501573,0.011492999300221412,6.24513957474307,COMPLETE
5,0.7978717880680719,2026-05-15 02:23:38.839328,2026-05-15 02:23:39.895565,0 days 00:00:01.056237,0.4401524937396013,142,4,847,0.5456725485601478,0.02490643969382439,0.003077180271250686,COMPLETE
6,0.7981273083239506,2026-05-15 02:23:39.895813,2026-05-15 02:23:40.409370,0 days 00:00:00.513557,0.31171107608941095,154,5,227,0.44677528179739073,0.15242391728466365,0.12030178871154672,COMPLETE
7,0.7896920561384384,2026-05-15 02:23:40.409599,2026-05-15 02:23:41.616700,0 days 00:00:01.207101,0.8948273504276488,238,9,348,5.727904470799624,0.18258230439200232,0.24637685958997463,COMPLETE
8,0.7988000659777252,2026-05-15 02:23:41.616958,2026-05-15 02:23:42.720613,0 days 00:00:01.103655,0.388677289689482,217,4,270,0.02001342062287998,0.017987863473362915,0.01217295809836997,COMPLETE
9,0.7795172868811899,2026-05-15 02:23:42.720838,2026-05-15 02:23:43.506976,0 days 00:00:00.786138,0.8021969807540397,253,7,485,0.003661819220392431,0.023200867504756816,0.0019870215385428634,COMPLETE
10,0.7994221928987887,2026-05-15 02:23:43.507200,2026-05-15 02:23:44.112132,0 days 00:00:00.604932,0.6400885024675562,195,4,611,0.024400771927662247,0.05298668130616353,0.03320258070519291,COMPLETE
11,0.798275614776142,2026-05-15 02:23:44.112380,2026-05-15 02:23:44.697393,0 days 00:00:00.585013,0.617454472993021,194,4,699,0.025926173236423863,0.055245878781596404,0.035382156320986916,COMPLETE
12,0.7990405261006447,2026-05-15 02:23:44.697619,2026-05-15 02:23:45.162287,0 days 00:00:00.464668,0.6198942765704727,204,4,578,0.01680081571348859,0.0817954206409594,0.03551213771944444,COMPLETE
13,0.7914642752131726,2026-05-15 02:23:45.162519,2026-05-15 02:23:45.571923,0 days 00:00:00.409404,0.6911059707613716,191,5,508,0.013486757455286177,0.08786255796996392,0.05417477918314546,COMPLETE
14,0.7968127738613464,2026-05-15 02:23:45.572203,2026-05-15 02:23:46.006187,0 days 00:00:00.433984,0.5908077985215608,113,5,724,0.04652629106902198,0.09258672313898965,0.45042834710787105,COMPLETE
15,0.7752197703688299,2026-05-15 02:23:46.006435,2026-05-15 02:23:46.579790,0 days 00:00:00.573355,0.5882424604946894,204,6,987,0.0062705605260907505,0.036728197616074675,0.02750886151011289,COMPLETE
16,0.7996118788591591,2026-05-15 02:23:46.580014,2026-05-15 02:23:47.144050,0 days 00:00:00.564036,0.2591086449486565,115,4,590,2.167803003957425,0.09772289630299934,0.0010954266271968453,COMPLETE
17,0.7776858312834819,2026-05-15 02:23:47.144278,2026-05-15 02:23:47.860037,0 days 00:00:00.715759,0.27344649214332295,106,10,631,2.7409117537713876,0.12193673293336887,0.0010446251525877421,COMPLETE
18,0.8013719781126066,2026-05-15 02:23:47.860265,2026-05-15 02:23:48.693210,0 days 00:00:00.832945,0.0013371284482431856,112,5,818,1.0279007946288032,0.03939138483220864,0.8088332704222068,COMPLETE
