number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.8427179394615646,2026-05-15 02:14:18.170102,2026-05-15 02:14:18.848180,0 days 00:00:00.678078,0.15601864044243652,45,9,500,0.24810409748678114,0.17254716573280354,0.004207053950287938,COMPLETE
1,0.8441452528633783,2026-05-15 02:14:18.848740,2026-05-15 02:14:19.431276,0 days 00:00:00.582536,0.9699098521619943,79,8,893,0.0012087541473056963,0.06054365855469249,2.136832907235876,COMPLETE
2,0.8560478952665376,2026-05-15 02:14:19.431531,2026-05-15 02:14:20.526731,0 days 00:00:01.095200,0.43194501864211576,169,6,345,0.12561043700013563,0.017322667470546258,0.014618962793704969,COMPLETE
3,0.8565265607736318,2026-05-15 02:14:20.526968,2026-05-15 02:14:21.374343,0 days 00:00:00.847375,0.7851759613930136,147,6,311,0.06672367170464209,0.023993242906812717,0.006290644294586149,COMPLETE
4,0.8415024394779735,2026-05-15 02:14:21.374564,2026-05-15 02:14:23.547689,0 days 00:00:02.173125,0.06505159298527952,248,8,674,0.004809461967501573,0.011492999300221412,6.24513957474307,COMPLETE
5,0.8580662077603843,2026-05-15 02:14:23.547902,2026-05-15 02:14:24.824797,0 days 00:00:01.276895,0.4401524937396013,142,4,847,0.5456725485601478,0.02490643969382439,0.003077180271250686,COMPLETE
6,0.8547449487490838,2026-05-15 02:14:24.825021,2026-05-15 02:14:25.287103,0 days 00:00:00.462082,0.31171107608941095,154,5,227,0.44677528179739073,0.15242391728466365,0.12030178871154672,COMPLETE
7,0.8514139126820037,2026-05-15 02:14:25.287328,2026-05-15 02:14:26.123942,0 days 00:00:00.836614,0.8948273504276488,238,9,348,5.727904470799624,0.18258230439200232,0.24637685958997463,COMPLETE
8,0.8568218552065898,2026-05-15 02:14:26.124176,2026-05-15 02:14:27.405415,0 days 00:00:01.281239,0.388677289689482,217,4,270,0.02001342062287998,0.017987863473362915,0.01217295809836997,COMPLETE
9,0.8376314774703816,2026-05-15 02:14:27.405650,2026-05-15 02:14:28.214124,0 days 00:00:00.808474,0.8021969807540397,253,7,485,0.003661819220392431,0.023200867504756816,0.0019870215385428634,COMPLETE
10,0.8585333869362126,2026-05-15 02:14:28.214351,2026-05-15 02:14:29.077449,0 days 00:00:00.863098,0.6400885024675562,105,4,982,3.033713464539809,0.053343533692271954,0.042239176219265706,COMPLETE
11,0.8584710325664838,2026-05-15 02:14:29.077692,2026-05-15 02:14:29.874985,0 days 00:00:00.797293,0.617454472993021,97,4,985,2.7271326003577623,0.05156911709595948,0.052166826535988815,COMPLETE
12,0.8585519154824806,2026-05-15 02:14:29.875208,2026-05-15 02:14:30.588226,0 days 00:00:00.713018,0.6525898752936657,97,4,996,9.821464149160903,0.05896703079158267,0.03551213771944444,COMPLETE
13,0.8575653900429918,2026-05-15 02:14:30.588463,2026-05-15 02:14:31.060701,0 days 00:00:00.472238,0.6913412129037293,108,5,752,9.259024479770856,0.10091557450479287,0.04118307566698297,COMPLETE
14,0.8589600904685329,2026-05-15 02:14:31.060939,2026-05-15 02:14:31.667276,0 days 00:00:00.606337,0.5908077985215608,51,5,993,1.4649682502152033,0.07589003839807723,0.45042834710787105,COMPLETE
15,0.8597464939341232,2026-05-15 02:14:31.667506,2026-05-15 02:14:32.215125,0 days 00:00:00.547619,0.5236869196420915,37,5,823,1.4054120965402346,0.08903012950316426,0.5579812329080549,COMPLETE
16,0.8556510014986927,2026-05-15 02:14:32.215345,2026-05-15 02:14:32.725848,0 days 00:00:00.510503,0.266525898201904,34,6,830,1.0811808531187468,0.10660290908929818,0.6023449723788307,COMPLETE
17,0.8583094034765295,2026-05-15 02:14:32.726091,2026-05-15 02:14:33.414297,0 days 00:00:00.688206,0.5209104076216468,61,5,731,1.5346439219996892,0.08526844184926073,0.8484640244158705,COMPLETE
