number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.8427179394615646,2026-05-15 02:20:42.213328,2026-05-15 02:20:42.795251,0 days 00:00:00.581923,0.15601864044243652,45,9,500,0.24810409748678114,0.17254716573280354,0.004207053950287938,COMPLETE
1,0.8441452528633783,2026-05-15 02:20:42.795540,2026-05-15 02:20:43.378331,0 days 00:00:00.582791,0.9699098521619943,79,8,893,0.0012087541473056963,0.06054365855469249,2.136832907235876,COMPLETE
2,0.8560478952665376,2026-05-15 02:20:43.378593,2026-05-15 02:20:44.483187,0 days 00:00:01.104594,0.43194501864211576,169,6,345,0.12561043700013563,0.017322667470546258,0.014618962793704969,COMPLETE
3,0.8565265607736318,2026-05-15 02:20:44.483431,2026-05-15 02:20:45.325457,0 days 00:00:00.842026,0.7851759613930136,147,6,311,0.06672367170464209,0.023993242906812717,0.006290644294586149,COMPLETE
4,0.8415024394779735,2026-05-15 02:20:45.325676,2026-05-15 02:20:47.580719,0 days 00:00:02.255043,0.06505159298527952,248,8,674,0.004809461967501573,0.011492999300221412,6.24513957474307,COMPLETE
5,0.8580662077603843,2026-05-15 02:20:47.580949,2026-05-15 02:20:48.865293,0 days 00:00:01.284344,0.4401524937396013,142,4,847,0.5456725485601478,0.02490643969382439,0.003077180271250686,COMPLETE
6,0.8547449487490838,2026-05-15 02:20:48.865519,2026-05-15 02:20:49.327451,0 days 00:00:00.461932,0.31171107608941095,154,5,227,0.44677528179739073,0.15242391728466365,0.12030178871154672,COMPLETE
7,0.8514139126820037,2026-05-15 02:20:49.327679,2026-05-15 02:20:50.204489,0 days 00:00:00.876810,0.8948273504276488,238,9,348,5.727904470799624,0.18258230439200232,0.24637685958997463,COMPLETE
8,0.8568218552065898,2026-05-15 02:20:50.204707,2026-05-15 02:20:51.508096,0 days 00:00:01.303389,0.388677289689482,217,4,270,0.02001342062287998,0.017987863473362915,0.01217295809836997,COMPLETE
9,0.8376314774703816,2026-05-15 02:20:51.508322,2026-05-15 02:20:52.350512,0 days 00:00:00.842190,0.8021969807540397,253,7,485,0.003661819220392431,0.023200867504756816,0.0019870215385428634,COMPLETE
10,0.8585333869362126,2026-05-15 02:20:52.350738,2026-05-15 02:20:53.190333,0 days 00:00:00.839595,0.6400885024675562,105,4,982,3.033713464539809,0.053343533692271954,0.042239176219265706,COMPLETE
11,0.8584710325664838,2026-05-15 02:20:53.190560,2026-05-15 02:20:53.981149,0 days 00:00:00.790589,0.617454472993021,97,4,985,2.7271326003577623,0.05156911709595948,0.052166826535988815,COMPLETE
12,0.8585519154824806,2026-05-15 02:20:53.981385,2026-05-15 02:20:54.695306,0 days 00:00:00.713921,0.6525898752936657,97,4,996,9.821464149160903,0.05896703079158267,0.03551213771944444,COMPLETE
13,0.8575653900429918,2026-05-15 02:20:54.695529,2026-05-15 02:20:55.160139,0 days 00:00:00.464610,0.6913412129037293,108,5,752,9.259024479770856,0.10091557450479287,0.04118307566698297,COMPLETE
14,0.8589600904685329,2026-05-15 02:20:55.160379,2026-05-15 02:20:55.759862,0 days 00:00:00.599483,0.5908077985215608,51,5,993,1.4649682502152033,0.07589003839807723,0.45042834710787105,COMPLETE
15,0.8597464939341232,2026-05-15 02:20:55.760097,2026-05-15 02:20:56.301484,0 days 00:00:00.541387,0.5236869196420915,37,5,823,1.4054120965402346,0.08903012950316426,0.5579812329080549,COMPLETE
16,0.8556510014986927,2026-05-15 02:20:56.301710,2026-05-15 02:20:56.810872,0 days 00:00:00.509162,0.266525898201904,34,6,830,1.0811808531187468,0.10660290908929818,0.6023449723788307,COMPLETE
17,0.8583094034765295,2026-05-15 02:20:56.811106,2026-05-15 02:20:57.465128,0 days 00:00:00.654022,0.5209104076216468,61,5,731,1.5346439219996892,0.08526844184926073,0.8484640244158705,COMPLETE
18,0.8495527167908284,2026-05-15 02:20:57.465364,2026-05-15 02:20:58.492416,0 days 00:00:01.027052,0.5315864914265246,63,7,588,0.0867685304004013,0.03651323960052657,7.723460393679794,COMPLETE
19,0.8500871046787656,2026-05-15 02:20:58.492642,2026-05-15 02:20:59.861152,0 days 00:00:01.368510,0.26914670887944914,190,10,893,0.8703617253913869,0.03702917556373974,0.37272602897396717,COMPLETE
20,0.855830201940643,2026-05-15 02:20:59.861369,2026-05-15 02:21:00.527048,0 days 00:00:00.665679,0.7701899584816609,33,5,799,0.027715121576007008,0.08175239522365661,1.7572283038510697,COMPLETE
21,0.8579517546738429,2026-05-15 02:21:00.527273,2026-05-15 02:21:01.162920,0 days 00:00:00.635647,0.5842851502597326,78,5,993,4.287705194421426,0.06928782512872882,0.10183469133522599,COMPLETE
22,0.854889895310295,2026-05-15 02:21:01.163133,2026-05-15 02:21:01.937334,0 days 00:00:00.774201,0.6604154608056299,120,6,916,1.773634409449318,0.12673775766682774,0.20902146985913395,COMPLETE
23,0.858104632273309,2026-05-15 02:21:01.937570,2026-05-15 02:21:03.017749,0 days 00:00:01.080179,0.721911054502845,56,4,926,9.798170606646936,0.07817330203218767,1.5059863513309546,COMPLETE
24,0.8583638951790228,2026-05-15 02:21:03.018060,2026-05-15 02:21:04.002933,0 days 00:00:00.984873,0.5533636029557192,83,5,644,0.2594442163669746,0.04254576171666571,0.020883584852723146,COMPLETE
25,0.8560191110673536,2026-05-15 02:21:04.003206,2026-05-15 02:21:05.029546,0 days 00:00:01.026340,0.47063092241823423,124,6,784,4.919404769411926,0.10559749959384908,3.5272084021281462,COMPLETE
26,0.8583063951516743,2026-05-15 02:21:05.029856,2026-05-15 02:21:05.947416,0 days 00:00:00.917560,0.3606445241280038,52,4,943,1.9001272114358199,0.06337812237458258,0.814610895809603,COMPLETE
27,0.8570079611215036,2026-05-15 02:21:05.947658,2026-05-15 02:21:06.443758,0 days 00:00:00.496100,0.725161549699414,74,5,849,0.6106527073108615,0.12734313406162723,0.3797887583825329,COMPLETE
28,0.8580376970452781,2026-05-15 02:21:06.443991,2026-05-15 02:21:07.301193,0 days 00:00:00.857202,0.8450536905640713,96,4,871,0.32505804153560497,0.03164315552465701,0.13562420336924885,COMPLETE
29,0.8546361704571559,2026-05-15 02:21:07.301420,2026-05-15 02:21:07.868061,0 days 00:00:00.566641,0.12342092511977298,46,7,512,0.1347469306883726,0.048496172566047026,0.06431932356999313,COMPLETE
30,0.8501510315819413,2026-05-15 02:21:07.868298,2026-05-15 02:21:08.303857,0 days 00:00:00.435559,0.5850857275182608,41,8,1000,1.0077372303448233,0.12743365470450332,0.001002417059933001,COMPLETE
31,0.8574545606204806,2026-05-15 02:21:08.304097,2026-05-15 02:21:09.025900,0 days 00:00:00.721803,0.6409514159174631,93,4,960,3.2417388217544154,0.055917002828090936,0.026979987468263685,COMPLETE
32,0.858207667399604,2026-05-15 02:21:09.026132,2026-05-15 02:21:09.674611,0 days 00:00:00.648479,0.5086908870385349,126,4,938,6.7459386884139025,0.07015465440038483,0.07468891879125798,COMPLETE
33,0.8586319779462439,2026-05-15 02:21:09.674851,2026-05-15 02:21:10.360589,0 days 00:00:00.685738,0.9465419492444492,67,5,891,2.8237513700491674,0.057861712616355816,0.008253133183354463,COMPLETE
34,0.8553628860227757,2026-05-15 02:21:10.360823,2026-05-15 02:21:10.836610,0 days 00:00:00.475787,0.9869645345201257,66,6,895,2.2020760106283017,0.09022847981982295,0.009257294331528818,COMPLETE
35,0.8575956784046033,2026-05-15 02:21:10.836849,2026-05-15 02:21:11.399865,0 days 00:00:00.563016,0.9358720958537223,49,5,794,0.17269779256002474,0.06967890649270345,0.006977804884680562,COMPLETE
36,0.8569912785927604,2026-05-15 02:21:11.400089,2026-05-15 02:21:12.078924,0 days 00:00:00.678835,0.8323262730614808,84,6,716,1.2677895128998178,0.04238150705517717,0.004765594585533127,COMPLETE
37,0.857349542734622,2026-05-15 02:21:12.079164,2026-05-15 02:21:12.739793,0 days 00:00:00.660629,0.4109280191855124,68,5,834,4.440770097661782,0.057431351971985935,0.02609463023429891,COMPLETE
38,0.8556316525001915,2026-05-15 02:21:12.740053,2026-05-15 02:21:13.562541,0 days 00:00:00.822488,0.8701843425869177,32,6,882,0.7088332045908119,0.030153855426664707,0.18355911166512126,COMPLETE
39,0.8579661809589446,2026-05-15 02:21:13.562769,2026-05-15 02:21:16.829202,0 days 00:00:03.266433,0.7535574303683681,46,5,685,9.966903764181527,0.01049713127632179,2.9495872275824517,COMPLETE
40,0.8484972733637447,2026-05-15 02:21:16.829430,2026-05-15 02:21:17.372790,0 days 00:00:00.543360,0.4611027169071431,167,8,951,0.04244146242814266,0.09456709844699832,0.015858538337100495,COMPLETE
