iter	Passed	Remaining
0	70	65856
1	144	67350
2	220	68345
3	291	67709
4	363	67539
5	436	67563
6	509	67503
7	585	67798
8	659	67815
9	733	67761
10	809	67916
11	885	68039
12	960	68066
13	1034	68013
14	1109	67996
15	1205	69139
16	1280	69059
17	1355	68954
18	1427	68743
19	1501	68618
20	1576	68532
21	1649	68377
22	1728	68448
23	1801	68299
24	1874	68141
25	1949	68081
26	2023	67990
27	2096	67844
28	2171	67762
29	2249	67790
30	2325	67745
31	2398	67611
32	2476	67609
33	2544	67346
34	2619	67290
35	2694	67215
36	2768	67120
37	2845	67102
38	2919	67008
39	2999	67027
40	3077	67024
41	3156	67038
42	3232	66981
43	3313	67014
44	3386	66910
45	3463	66854
46	3541	66831
47	3623	66876
48	3701	66845
49	3775	66748
50	3855	66750
51	3935	66757
52	4014	66733
53	4089	66641
54	4167	66607
55	4246	66584
56	4323	66514
57	4401	66484
58	4477	66403
59	4562	66461
60	4643	66459
61	4719	66381
62	4797	66334
63	4882	66372
64	4955	66253
65	5034	66210
66	5110	66137
67	5189	66094
68	5270	66067
69	5343	65959
70	5426	65957
71	5506	65920
72	5583	65856
73	5662	65804
74	5739	65736
75	5814	65646
76	5897	65639
77	5996	65803
78	6074	65745
79	6151	65670
80	6235	65663
81	6340	65875
82	6453	66169
83	6538	66160
84	6635	66278
85	6716	66230
86	6795	66159
87	6885	66193
88	6967	66148
89	7045	66072
90	7127	66027
91	7213	66015
92	7293	65951
93	7374	65902
94	7467	65946
95	7542	65836
96	7618	65740
97	7695	65645
98	7776	65592
99	7862	65573
100	7944	65521
101	8033	65525
102	8108	65415
103	8191	65372
104	8273	65321
105	8348	65213
106	8431	65166
107	8509	65081
108	8585	64983
109	8678	65009
110	8756	64922
111	8834	64842
112	8909	64734
113	8990	64666
114	9069	64589
115	9150	64530
116	9234	64483
117	9319	64449
118	9406	64421
119	9487	64353
120	9572	64319
121	9653	64248
122	9735	64189
123	9815	64114
124	9895	64042
125	9974	63964
126	10052	63879
127	10138	63841
128	10215	63748
129	10296	63682
130	10382	63642
131	10462	63565
132	10542	63494
133	10632	63476
134	10716	63423
135	10807	63413
136	10896	63390
137	10977	63321
138	11057	63242
139	11225	63666
140	11511	64742
141	11832	65996
142	12124	67068
143	12429	68188
144	12708	69152
145	12993	70130
146	13293	71168
147	13596	72206
148	13885	73155
149	14197	74207
150	14535	75372
151	14782	76051
152	15069	76921
153	15406	78033
154	15568	78241
155	15668	78139
156	15755	77973
157	15845	77821
158	15932	77658
159	16019	77495
160	16102	77311
161	16186	77134
162	16265	76935
163	16348	76756
164	16424	76546
165	16500	76340
166	16582	76158
167	16670	76010
168	16749	75818
169	16829	75634
170	16907	75440
171	16986	75254
172	17069	75087
173	17157	74942
174	17239	74771
175	17326	74623
176	17408	74452
177	17490	74285
178	17577	74140
179	17656	73962
180	17735	73783
181	17813	73601
182	17890	73418
183	17976	73275
184	18055	73101
185	18139	72946
186	18224	72798
187	18301	72622
188	18382	72461
189	18459	72285
190	18543	72133
191	18622	71967
192	18707	71826
193	18794	71691
194	18873	71526
195	18946	71338
196	19021	71160
197	19103	71010
198	19183	70854
199	19260	70687
200	19336	70515
201	19410	70338
202	19483	70161
203	19564	70009
204	19641	69848
205	19721	69695
206	19802	69548
207	19883	69400
208	19963	69250
209	20038	69085
210	20125	68960
211	20201	68798
212	20284	68663
213	20366	68522
214	20444	68369
215	20521	68216
216	20603	68076
217	20685	67939
218	20768	67806
219	20849	67666
220	20930	67528
221	21013	67395
222	21090	67243
223	21171	67106
224	21254	66976
225	21334	66834
226	21412	66689
227	21492	66549
228	21572	66414
229	21651	66272
230	21730	66132
231	21802	65971
232	21879	65826
233	21962	65699
234	22040	65558
235	22124	65437
236	22200	65288
237	22283	65163
238	22367	65043
239	22452	64925
240	22531	64788
241	22610	64655
242	22692	64527
243	22777	64411
244	22854	64272
245	22939	64155
246	23018	64023
247	23099	63896
248	23181	63772
249	23267	63659
250	23347	63530
251	23426	63401
252	23509	63280
253	23592	63161
254	23674	63039
255	23755	62915
256	23833	62783
257	23919	62671
258	24003	62558
259	24087	62441
260	24165	62311
261	24244	62185
262	24320	62049
263	24401	61926
264	24481	61803
265	24558	61673
266	24636	61545
267	24718	61426
268	24795	61297
269	24889	61210
270	24969	61087
271	25055	60981
272	25134	60857
273	25218	60744
274	25296	60618
275	25374	60493
276	25454	60375
277	25529	60243
278	25613	60132
279	25700	60028
280	25784	59920
281	25866	59804
282	25948	59691
283	26031	59580
284	26110	59459
285	26193	59346
286	26272	59228
287	26357	59121
288	26437	59004
289	26524	58902
290	26597	58770
291	26671	58641
292	26751	58525
293	26831	58408
294	26909	58289
295	26988	58171
296	27062	58043
297	27148	57940
298	27234	57839
299	27315	57726
300	27394	57610
301	27475	57498
302	27559	57393
303	27642	57285
304	27716	57160
305	27791	57036
306	27873	56928
307	27953	56814
308	28032	56699
309	28109	56582
310	28191	56474
311	28277	56374
312	28350	56248
313	28434	56144
314	28509	56023
315	28590	55914
316	28670	55802
317	28747	55686
318	28825	55572
319	28904	55460
320	28990	55362
321	29069	55249
322	29153	55147
323	29237	55046
324	29323	54947
325	29403	54838
326	29478	54720
327	29557	54610
328	29644	54513
329	29722	54401
330	29799	54286
331	29871	54164
332	29956	54066
333	30038	53961
334	30115	53848
335	30191	53733
336	30274	53631
337	30357	53530
338	30439	53425
339	30522	53323
340	30604	53221
341	30686	53118
342	30768	53015
343	30852	52914
344	30930	52805
345	31007	52694
346	31085	52585
347	31160	52470
348	31236	52359
349	31314	52250
350	31396	52147
351	31477	52045
352	31555	51936
353	31639	51839
354	31718	51732
355	31795	51622
356	31871	51511
357	31957	51416
358	32040	51318
359	32115	51206
360	32201	51112
361	32277	51002
362	32354	50893
363	32431	50785
364	32508	50677
365	32587	50572
366	32669	50472
367	32746	50365
368	32825	50260
369	32901	50152
370	32986	50058
371	33063	49950
372	33140	49844
373	33225	49749
374	33307	49649
375	33388	49549
376	33465	49444
377	33540	49335
378	33623	49237
379	33698	49128
380	33780	49030
381	33860	48929
382	33945	48834
383	34025	48734
384	34112	48644
385	34190	48539
386	34277	48448
387	34356	48346
388	34433	48242
389	34512	48140
390	34592	48039
391	34673	47942
392	34758	47848
393	34835	47743
394	34911	47638
395	34987	47533
396	35061	47425
397	35137	47321
398	35217	47221
399	35305	47132
400	35387	47036
401	35468	46938
402	35551	46843
403	35633	46746
404	35718	46654
405	35804	46563
406	35880	46459
407	35956	46355
408	36039	46260
409	36120	46164
410	36201	46066
411	36281	45967
412	36359	45867
413	36437	45766
414	36520	45672
415	36600	45574
416	36676	45471
417	36752	45368
418	36832	45271
419	36907	45168
420	36985	45067
421	37068	44974
422	37151	44880
423	37227	44778
424	37313	44687
425	37395	44593
426	37476	44497
427	37558	44403
428	37639	44307
429	37717	44208
430	37801	44116
431	37886	44024
432	37972	43935
433	38059	43847
434	38139	43751
435	38219	43654
436	38296	43554
437	38383	43466
438	38462	43368
439	38543	43274
440	38625	43179
441	38707	43086
442	38784	42987
443	38860	42886
444	38948	42800
445	39026	42701
446	39111	42611
447	39191	42516
448	39272	42421
449	39347	42320
450	39422	42219
451	39505	42127
452	39590	42037
453	39674	41946
454	39756	41853
455	39837	41759
456	39921	41669
457	39999	41571
458	40076	41473
459	40157	41379
460	40238	41285
461	40315	41187
